Set,Species,Card Name,Date,Year,Ungraded,Grade 7,Grade 8,Grade 9,BGS 9.5,PSA 10
Base Set,Charizard,
,2021-01-01,2021,872.13,11254.85,19500.5,,,
Base Set,Charizard,Charizard [1st Edition] #4,2021-02-01,2021,352.94,11688.0,20634.71,34869.63,35794.5,295300.0
Base Set,Charizard,Charizard [1st Edition] #4,2021-03-01,2021,4977.46,10650.5,16964.59,30600.0,57789.0,311800.0
Base Set,Charizard,Charizard [1st Edition] #4,2021-04-01,2021,3700.0,10223.5,17872.67,30950.0,57789.0,311800.0
Base Set,Charizard,Charizard [1st Edition] #4,2021-05-01,2021,3850.0,10537.77,15100.0,25600.0,57789.0,349995.0
Base Set,Charizard,Charizard [1st Edition] #4,2021-06-01,2021,4183.0,9427.03,12277.5,25800.0,57789.0,349995.0
Base Set,Charizard,Charizard [1st Edition] #4,2021-07-01,2021,4688.0,9354.38,10097.75,17310.71,19042.0,349995.0
Base Set,Charizard,Charizard [1st Edition] #4,2021-08-01,2021,4525.0,7227.0,10926.89,24249.57,26675.0,499999.0
Base Set,Charizard,Charizard [1st Edition] #4,2021-09-01,2021,3323.25,7264.37,10100.0,29620.74,32583.0,139251.28
Base Set,Charizard,Charizard [1st Edition] #4,2021-10-01,2021,3959.5,8000.0,9650.0,24149.5,26564.0,106816.99
Base Set,Charizard,Charizard [1st Edition] #4,2021-11-01,2021,3213.86,8670.61,11507.13,18277.91,20106.0,64681.09
Base Set,Charizard,Charizard [1st Edition] #4,2021-12-01,2021,2828.12,8607.84,11499.98,24743.84,64815.26,331126.97
Base Set,Charizard,Charizard [1st Edition] #4,2022-01-01,2022,2994.17,8500.0,9950.0,22200.0,66735.52,326682.57
Base Set,Charizard,Charizard [1st Edition] #4,2022-02-01,2022,3713.0,6594.0,8242.86,23198.59,66765.52,312555.39
Base Set,Charizard,Charizard [1st Edition] #4,2022-03-01,2022,3640.76,7800.0,9500.0,24111.18,66765.52,311811.81
