Set,Species,Card Name,Date,Year,Ungraded,Grade 7,Grade 8,Grade 9,BGS 9.5,PSA 10
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-01-01,2021,13.79,,,,,
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-02-01,2021,14.0,,,,,
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-03-01,2021,20.08,,,,,
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-04-01,2021,17.76,,,,,
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-05-01,2021,13.43,,,,,600.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-06-01,2021,15.24,,,,,600.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-07-01,2021,9.28,,,,,600.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-08-01,2021,12.2,,,,,600.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-09-01,2021,14.36,,,79.81,,600.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-10-01,2021,15.48,,,92.65,,600.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-11-01,2021,20.0,,,107.92,,213.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2021-12-01,2021,16.26,,,120.61,,213.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-01-01,2022,16.92,,,110.42,,213.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-02-01,2022,15.01,,,97.19,,213.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-03-01,2022,11.5,,,80.31,,213.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-04-01,2022,9.0,,,65.1,,554.06
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-05-01,2022,9.0,,,70.0,,591.63
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-06-01,2022,8.09,,,70.0,,567.58
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-07-01,2022,14.71,,,70.0,,556.5
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-08-01,2022,20.28,,,70.0,,213.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-09-01,2022,14.13,,40.0,70.0,,213.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-10-01,2022,15.4,,40.0,70.0,,213.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-11-01,2022,16.69,,40.0,70.0,,115.04
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2022-12-01,2022,17.86,7.42,49.98,70.0,,124.5
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-01-01,2023,17.8,7.38,49.98,70.0,,89.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-02-01,2023,17.67,7.38,49.98,70.0,,89.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-03-01,2023,19.99,7.38,55.29,147.73,,177.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-04-01,2023,23.57,7.38,54.38,147.92,,178.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-05-01,2023,24.94,7.38,53.85,147.95,,152.5
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-06-01,2023,18.33,7.38,50.83,83.98,,156.44
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-07-01,2023,14.25,7.38,50.0,83.98,,139.38
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-08-01,2023,18.08,7.38,49.98,73.9,,136.81
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-09-01,2023,14.93,7.38,49.98,55.0,61.0,136.81
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-10-01,2023,14.51,7.38,49.98,55.0,61.0,138.74
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-11-01,2023,13.88,7.38,49.98,55.0,61.0,115.12
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2023-12-01,2023,14.99,7.38,49.98,55.0,61.0,116.35
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-01-01,2024,15.74,13.0,49.98,55.0,61.0,117.95
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-02-01,2024,14.54,13.0,49.98,55.0,61.0,119.98
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-03-01,2024,13.99,13.0,49.98,55.0,61.0,120.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-04-01,2024,16.56,18.75,49.98,55.0,61.0,120.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-05-01,2024,17.55,18.75,24.96,39.25,43.0,120.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-06-01,2024,16.5,18.75,25.6,41.0,45.0,120.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-07-01,2024,15.5,18.75,29.31,41.0,45.0,120.0
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-08-01,2024,19.67,18.75,37.49,41.0,45.0,158.49
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-09-01,2024,17.36,18.75,28.9,41.0,45.0,153.68
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-10-01,2024,14.78,18.75,29.78,41.0,45.0,152.52
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-11-01,2024,15.87,18.75,29.99,37.0,41.0,152.5
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2024-12-01,2024,16.61,18.75,29.99,33.0,35.9,152.5
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2025-01-01,2025,17.16,25.5,30.62,34.0,34.52,152.5
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2025-02-01,2025,19.12,25.5,30.17,30.45,33.99,152.5
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2025-03-01,2025,19.99,25.0,30.62,34.0,37.0,152.5
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2025-04-01,2025,45.88,25.0,30.62,30.73,35.74,152.5
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2025-05-01,2025,51.12,40.32,43.0,47.0,52.0,151.42
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2025-06-01,2025,40.0,39.57,50.0,55.0,61.0,151.42
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2025-07-01,2025,37.0,39.12,50.0,55.0,61.0,151.42
EX Delta Species,Ditto,Ditto [Bulbasaur] #36,2025-08-01,2025,42.71,32.4,72.01,79.0,87.0,151.27
