Set,Species,Card Name,Date,Year,Ungraded,Grade 7,Grade 8,Grade 9,BGS 9.5,PSA 10
Evolving Skies,Dragonite,Dragonite V #192,2021-09-01,2021,86.45,,,137.03,190.43,750.85
Evolving Skies,Dragonite,Dragonite V #192,2021-10-01,2021,83.09,,,105.5,190.43,510.3
Evolving Skies,Dragonite,Dragonite V #192,2021-11-01,2021,74.14,,,123.25,190.43,409.39
Evolving Skies,Dragonite,Dragonite V #192,2021-12-01,2021,75.86,,,137.75,235.71,364.99
Evolving Skies,Dragonite,Dragonite V #192,2022-01-01,2022,69.81,,,137.75,190.43,416.67
Evolving Skies,Dragonite,Dragonite V #192,2022-02-01,2022,65.86,,,138.48,190.43,376.56
Evolving Skies,Dragonite,Dragonite V #192,2022-03-01,2022,71.52,,,164.25,191.1,346.73
Evolving Skies,Dragonite,Dragonite V #192,2022-04-01,2022,85.0,,,149.25,195.11,310.0
Evolving Skies,Dragonite,Dragonite V #192,2022-05-01,2022,77.0,,,135.0,196.5,285.0
Evolving Skies,Dragonite,Dragonite V #192,2022-06-01,2022,80.82,,,120.39,190.43,253.72
Evolving Skies,Dragonite,Dragonite V #192,2022-07-01,2022,80.3,78.89,91.0,119.26,190.43,244.11
Evolving Skies,Dragonite,Dragonite V #192,2022-08-01,2022,72.15,72.83,90.5,112.5,190.43,243.75
Evolving Skies,Dragonite,Dragonite V #192,2022-09-01,2022,75.71,73.33,90.67,119.5,197.46,249.99
Evolving Skies,Dragonite,Dragonite V #192,2022-10-01,2022,80.5,75.0,78.0,111.0,197.76,219.01
Evolving Skies,Dragonite,Dragonite V #192,2022-11-01,2022,84.57,58.0,73.04,102.21,197.8,224.67
Evolving Skies,Dragonite,Dragonite V #192,2022-12-01,2022,90.25,75.0,81.0,101.0,152.5,214.78
Evolving Skies,Dragonite,Dragonite V #192,2023-01-01,2023,89.54,75.0,82.01,106.04,142.5,232.17
Evolving Skies,Dragonite,Dragonite V #192,2023-02-01,2023,83.67,75.0,78.38,94.5,169.99,208.28
Evolving Skies,Dragonite,Dragonite V #192,2023-03-01,2023,90.0,75.0,79.0,99.0,169.99,209.21
Evolving Skies,Dragonite,Dragonite V #192,2023-04-01,2023,89.47,70.0,81.0,99.0,162.79,190.25
Evolving Skies,Dragonite,Dragonite V #192,2023-05-01,2023,94.14,69.06,81.01,100.0,164.99,195.88
Evolving Skies,Dragonite,Dragonite V #192,2023-06-01,2023,90.02,74.88,78.26,94.05,150.0,195.0
Evolving Skies,Dragonite,Dragonite V #192,2023-07-01,2023,90.0,64.0,80.5,103.0,125.0,210.57
Evolving Skies,Dragonite,Dragonite V #192,2023-08-01,2023,80.5,61.0,76.5,108.75,150.0,208.75
Evolving Skies,Dragonite,Dragonite V #192,2023-09-01,2023,74.25,58.0,72.51,90.25,150.0,198.21
Evolving Skies,Dragonite,Dragonite V #192,2023-10-01,2023,75.0,61.0,76.01,84.0,136.25,175.92
Evolving Skies,Dragonite,Dragonite V #192,2023-11-01,2023,79.99,60.0,75.02,91.94,136.66,173.2
Evolving Skies,Dragonite,Dragonite V #192,2023-12-01,2023,81.25,54.0,67.43,99.99,144.86,196.02
Evolving Skies,Dragonite,Dragonite V #192,2024-01-01,2024,78.56,69.24,70.55,98.85,129.15,185.13
Evolving Skies,Dragonite,Dragonite V #192,2024-02-01,2024,89.5,56.02,71.9,83.5,125.5,188.33
Evolving Skies,Dragonite,Dragonite V #192,2024-03-01,2024,83.55,58.01,76.37,99.0,125.5,200.0
Evolving Skies,Dragonite,Dragonite V #192,2024-04-01,2024,141.23,80.5,100.66,130.99,144.0,282.5
Evolving Skies,Dragonite,Dragonite V #192,2024-05-01,2024,165.0,80.5,119.5,168.26,184.36,371.5
Evolving Skies,Dragonite,Dragonite V #192,2024-06-01,2024,158.63,80.31,144.74,168.53,225.0,297.28
Evolving Skies,Dragonite,Dragonite V #192,2024-07-01,2024,125.73,94.4,139.5,140.35,219.0,255.43
Evolving Skies,Dragonite,Dragonite V #192,2024-08-01,2024,114.0,92.7,115.0,132.25,180.0,252.5
Evolving Skies,Dragonite,Dragonite V #192,2024-09-01,2024,120.0,91.9,112.58,127.0,142.5,258.75
Evolving Skies,Dragonite,Dragonite V #192,2024-10-01,2024,132.81,91.11,115.55,126.25,162.51,270.0
Evolving Skies,Dragonite,Dragonite V #192,2024-11-01,2024,137.48,91.1,115.55,145.0,162.51,309.37
Evolving Skies,Dragonite,Dragonite V #192,2024-12-01,2024,168.03,89.82,118.95,158.75,198.13,354.36
Evolving Skies,Dragonite,Dragonite V #192,2025-01-01,2025,193.0,90.95,136.64,201.08,218.76,485.0
Evolving Skies,Dragonite,Dragonite V #192,2025-02-01,2025,233.0,91.09,150.0,222.5,235.81,493.5
Evolving Skies,Dragonite,Dragonite V #192,2025-03-01,2025,220.0,91.09,152.5,218.5,281.86,477.57
Evolving Skies,Dragonite,Dragonite V #192,2025-04-01,2025,220.0,91.09,180.0,226.25,297.7,457.29
Evolving Skies,Dragonite,Dragonite V #192,2025-05-01,2025,231.78,91.09,190.07,230.25,279.51,476.28
Evolving Skies,Dragonite,Dragonite V #192,2025-06-01,2025,220.0,91.4,194.85,244.64,300.0,526.38
Evolving Skies,Dragonite,Dragonite V #192,2025-07-01,2025,247.48,91.09,206.14,235.5,304.5,736.53
