Set,Species,Card Name,Date,Year,Ungraded,Grade 7,Grade 8,Grade 9,BGS 9.5,PSA 10
Japanese Vending,Gengar,Gengar [Masaki] #94,2023-05-01,2023,269.5,540.0,871.69,1750.0,,
Japanese Vending,Gengar,Gengar [Masaki] #94,2023-06-01,2023,375.0,525.0,895.85,1653.93,,
Japanese Vending,Gengar,Gengar [Masaki] #94,2023-07-01,2023,676.76,540.0,860.35,1653.93,,
Japanese Vending,Gengar,Gengar [Masaki] #94,2023-08-01,2023,441.82,535.18,850.64,1653.93,,
Japanese Vending,Gengar,Gengar [Masaki] #94,2023-09-01,2023,399.0,534.13,800.0,1492.96,1642.0,
Japanese Vending,Gengar,Gengar [Masaki] #94,2023-10-01,2023,456.07,585.61,821.86,1572.37,1730.0,14100.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2023-11-01,2023,455.5,568.65,849.5,1668.14,1835.0,12100.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2023-12-01,2023,415.25,535.0,887.5,1515.43,1667.0,10500.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-01-01,2024,417.0,636.94,900.4,1590.0,1749.0,10500.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-02-01,2024,410.33,636.94,898.83,1576.5,1734.0,10500.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-03-01,2024,417.0,644.75,892.75,1625.5,1788.0,10239.56
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-04-01,2024,417.0,636.94,1001.1,1640.51,1805.0,10256.45
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-05-01,2024,408.5,679.72,999.98,1752.55,1928.0,10276.85
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-06-01,2024,417.0,679.72,1195.71,2000.0,2200.0,10285.03
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-07-01,2024,408.5,679.72,1200.0,2041.25,2245.0,10285.03
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-08-01,2024,408.5,679.72,1180.77,2087.89,2297.0,10700.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-09-01,2024,395.0,704.09,1174.88,2069.97,2277.0,10355.5
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-10-01,2024,427.13,680.47,1161.54,2099.99,2310.0,10500.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-11-01,2024,427.13,679.74,1300.0,2099.99,2310.0,10500.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2024-12-01,2024,436.5,679.73,1161.54,2099.99,2310.0,10500.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-01-01,2025,435.06,679.73,1161.54,2099.99,2310.0,10500.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-02-01,2025,434.91,679.73,1161.54,2099.99,2310.0,10600.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-03-01,2025,434.78,679.73,1161.54,2099.99,2310.0,10500.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-04-01,2025,434.69,679.72,1161.54,3100.88,3411.0,10500.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-05-01,2025,532.11,861.59,1929.23,3361.0,3697.0,16624.35
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-06-01,2025,450.88,1003.84,1912.89,3361.0,3697.0,16624.35
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-07-01,2025,1223.34,1000.0,2687.65,3853.53,4239.0,16624.35
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-08-01,2025,1221.18,1000.0,2751.04,6734.12,7408.0,22995.48
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-09-01,2025,1221.11,2400.0,3554.47,6563.0,7219.0,22756.75
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-10-01,2025,1092.99,2400.0,4077.54,7341.0,10000.0,16474.91
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-11-01,2025,1092.99,2850.0,3908.49,7300.0,10000.0,15404.59
Japanese Vending,Gengar,Gengar [Masaki] #94,2025-12-01,2025,1092.99,2850.0,3857.07,7100.5,10000.0,11200.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2026-01-01,2026,1092.99,2850.0,3864.14,7500.0,10000.0,13871.34
Japanese Vending,Gengar,Gengar [Masaki] #94,2026-02-01,2026,1442.25,3225.0,3864.14,9100.45,10000.0,11982.84
Japanese Vending,Gengar,Gengar [Masaki] #94,2026-03-01,2026,1221.11,3750.0,4907.0,9500.0,10000.0,16194.59
Japanese Vending,Gengar,Gengar [Masaki] #94,2026-04-01,2026,1579.33,4416.0,5519.45,13050.0,14355.0,16159.06
Japanese Vending,Gengar,Gengar [Masaki] #94,2026-05-01,2026,3000.25,6400.0,7586.14,14327.5,15760.0,16045.66
Japanese Vending,Gengar,Gengar [Masaki] #94,2026-06-01,2026,3795.43,7199.99,8702.0,15250.0,22000.0,147000.0
Japanese Vending,Gengar,Gengar [Masaki] #94,2026-07-01,2026,4158.38,7525.0,9299.99,15826.42,22000.0,168000.0
