Set,Species,Card Name,Date,Year,Ungraded,Grade 7,Grade 8,Grade 9,BGS 9.5,PSA 10
Chinese Promo,Mew,Mew ex #3/SV-P,2025-06-01,2025,6125.0,,5656.0,8100.0,8910.0,17275.0
Chinese Promo,Mew,Mew ex #3/SV-P,2025-07-01,2025,7577.39,,6078.0,8500.0,9350.0,16475.0
Chinese Promo,Mew,Mew ex #3/SV-P,2025-08-01,2025,8256.36,,6078.0,8899.5,11200.0,15401.0
Chinese Promo,Mew,Mew ex #3/SV-P,2025-09-01,2025,9477.66,,6078.0,9329.0,13300.0,17582.39
Chinese Promo,Mew,Mew ex #3/SV-P,2025-10-01,2025,8762.6,,6078.0,11091.68,13300.0,20766.46
Chinese Promo,Mew,Mew ex #3/SV-P,2025-11-01,2025,9103.85,,6078.0,10041.86,12655.0,23180.58
Chinese Promo,Mew,Mew ex #3/SV-P,2025-12-01,2025,8356.1,,6078.0,8350.0,12538.88,18700.0
Chinese Promo,Mew,Mew ex #3/SV-P,2026-01-01,2026,8499.99,,6078.0,9075.0,11925.94,19250.0
Chinese Promo,Mew,Mew ex #3/SV-P,2026-02-01,2026,8888.88,,6078.0,9876.44,11500.0,19211.0
Chinese Promo,Mew,Mew ex #3/SV-P,2026-03-01,2026,10073.78,,,9825.03,12909.09,23101.0
Chinese Promo,Mew,Mew ex #3/SV-P,2026-04-01,2026,10073.78,,6078.0,12153.58,12283.31,26650.0
Chinese Promo,Mew,Mew ex #3/SV-P,2026-05-01,2026,8697.81,,6078.0,15006.33,16507.0,31566.82
Chinese Promo,Mew,Mew ex #3/SV-P,2026-06-01,2026,11438.99,,6078.0,22100.0,24310.0,58250.0
Chinese Promo,Mew,Mew ex #3/SV-P,2026-07-01,2026,11438.99,,6078.0,21372.0,23509.0,58250.0
