Set,Species,Card Name,Date,Year,Ungraded,Grade 7,Grade 8,Grade 9,BGS 9.5,PSA 10
Chinese Promo,Pikachu,Pikachu #153/SV-P,2024-12-01,2024,279.74,,,,,
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-01-01,2025,279.74,,,,,520.0
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-02-01,2025,279.74,,,,,520.0
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-03-01,2025,279.74,,,,,520.0
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-04-01,2025,279.99,,,,,
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-05-01,2025,279.99,,,,,809.0
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-06-01,2025,519.71,,510.95,562.0,618.0,1792.35
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-07-01,2025,442.28,,510.95,562.0,618.0,2050.0
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-08-01,2025,489.86,,630.48,835.25,970.0,1774.64
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-09-01,2025,775.39,,630.48,856.64,981.0,1670.76
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-10-01,2025,857.19,,630.48,880.73,981.0,1765.92
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-11-01,2025,801.75,,630.48,876.7,981.0,1651.62
Chinese Promo,Pikachu,Pikachu #153/SV-P,2025-12-01,2025,843.27,,630.48,879.31,1001.86,1450.0
Chinese Promo,Pikachu,Pikachu #153/SV-P,2026-01-01,2026,862.95,,630.48,810.0,999.5,1458.74
Chinese Promo,Pikachu,Pikachu #153/SV-P,2026-02-01,2026,759.86,,630.48,1125.32,1238.0,1678.92
Chinese Promo,Pikachu,Pikachu #153/SV-P,2026-03-01,2026,829.76,,630.48,1066.64,1173.0,2000.0
Chinese Promo,Pikachu,Pikachu #153/SV-P,2026-04-01,2026,1176.09,,630.48,1139.39,1356.89,2099.0
Chinese Promo,Pikachu,Pikachu #153/SV-P,2026-05-01,2026,1475.0,,630.48,1310.47,1332.61,2892.68
Chinese Promo,Pikachu,Pikachu #153/SV-P,2026-06-01,2026,1600.0,,630.48,1387.5,1526.0,4400.0
Chinese Promo,Pikachu,Pikachu #153/SV-P,2026-07-01,2026,1737.95,,630.48,1471.59,1811.12,3831.35
