Set,Species,Card Name,Date,Year,Ungraded,Grade 7,Grade 8,Grade 9,BGS 9.5,PSA 10
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2023-09-01,2023,119.0,,,,,
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2023-10-01,2023,122.46,126.0,157.5,198.0,218.0,612.53
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2023-11-01,2023,152.0,150.0,156.37,175.75,335.0,483.05
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2023-12-01,2023,139.08,122.04,131.55,147.38,300.0,374.66
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-01-01,2024,129.02,110.49,128.18,140.69,280.0,318.98
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-02-01,2024,84.22,80.0,99.57,117.5,230.0,234.5
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-03-01,2024,82.08,78.5,88.53,95.68,164.25,229.33
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-04-01,2024,86.77,81.72,85.22,94.28,144.5,220.27
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-05-01,2024,85.35,79.0,79.16,99.24,133.75,206.62
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-06-01,2024,82.78,63.0,78.58,98.0,118.0,232.98
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-07-01,2024,82.47,68.0,80.43,89.5,116.28,215.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-08-01,2024,94.56,64.0,80.14,93.42,145.0,216.31
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-09-01,2024,101.66,81.0,87.26,106.27,120.25,250.83
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-10-01,2024,119.0,83.53,94.75,156.46,196.83,308.4
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-11-01,2024,161.25,83.53,112.63,167.94,231.11,383.45
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2024-12-01,2024,217.5,91.05,163.96,233.75,335.88,550.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-01-01,2025,281.86,91.05,220.0,315.5,349.5,728.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-02-01,2025,318.07,159.51,275.25,314.27,395.0,700.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-03-01,2025,322.48,220.38,261.62,330.0,390.0,735.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-04-01,2025,339.44,260.0,272.48,324.28,367.79,813.33
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-05-01,2025,325.0,267.66,285.95,329.5,380.0,817.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-06-01,2025,348.72,263.71,293.33,333.99,380.5,851.39
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-07-01,2025,413.61,265.75,331.39,382.86,436.1,1132.91
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-08-01,2025,464.5,277.5,355.41,458.1,548.15,1148.88
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-09-01,2025,725.0,318.5,497.42,655.0,721.0,2050.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-10-01,2025,666.75,349.88,425.0,650.76,890.0,1793.46
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-11-01,2025,525.0,400.0,449.99,492.05,618.45,1411.13
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2025-12-01,2025,500.0,412.36,413.0,488.99,538.9,1475.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2026-01-01,2026,552.37,355.0,444.23,586.67,637.5,1912.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2026-02-01,2026,619.25,491.77,501.6,710.54,747.68,1989.5
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2026-03-01,2026,818.16,465.0,692.0,880.0,980.55,2650.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2026-04-01,2026,988.0,461.87,739.89,1000.0,1080.0,2996.63
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2026-05-01,2026,980.64,740.05,849.45,1026.74,1599.99,3100.0
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2026-06-01,2026,948.43,803.8,850.0,992.02,1626.59,2882.2
Promo,Pikachu,Pikachu with Grey Felt Hat #85,2026-07-01,2026,922.0,803.8,859.46,990.31,1467.89,2850.0
