set,product_id,card,url,Ungraded,Grade 9,PSA 10
pokemon-promo,844854,Magikarp & Wailord GX #SM166,https://www.pricecharting.com/game/pokemon-promo/magikarp-&-wailord-gx-sm166,57.5,1796.51,37210.0
pokemon-promo,845052,Infernape LV.X #DP10,https://www.pricecharting.com/game/pokemon-promo/infernape-lvx-dp10,27.03,1925.0,35002.49
pokemon-promo,1563489,Eevee #BW94,https://www.pricecharting.com/game/pokemon-promo/eevee-bw94,60.0,257.26,25000.0
pokemon-promo,845087,Charizard G LV.X #DP45,https://www.pricecharting.com/game/pokemon-promo/charizard-g-lvx-dp45,82.03,4417.06,19999.99
pokemon-promo,6149127,Rayquaza ex #39,https://www.pricecharting.com/game/pokemon-promo/rayquaza-ex-39,225.0,3400.0,17080.0
pokemon-promo,1563467,Darkrai #BW73,https://www.pricecharting.com/game/pokemon-promo/darkrai-bw73,159.56,1081.25,15925.0
pokemon-promo,844740,Reshiram #XY74,https://www.pricecharting.com/game/pokemon-promo/reshiram-xy74,39.5,506.95,15500.0
pokemon-promo,643511,Birthday Pikachu #24,https://www.pricecharting.com/game/pokemon-promo/birthday-pikachu-24,258.32,716.18,13599.75
pokemon-promo,845051,Torterra LV.X #DP09,https://www.pricecharting.com/game/pokemon-promo/torterra-lvx-dp09,14.99,207.13,12500.0
pokemon-promo,844891,Reshiram & Charizard GX #SM201,https://www.pricecharting.com/game/pokemon-promo/reshiram-&-charizard-gx-sm201,120.25,650.0,10100.0
pokemon-promo,1563468,Giratina #BW74,https://www.pricecharting.com/game/pokemon-promo/giratina-bw74,132.0,1855.15,9930.0
pokemon-promo,1563488,Umbreon #BW93,https://www.pricecharting.com/game/pokemon-promo/umbreon-bw93,155.13,1103.58,9900.0
pokemon-promo,844917,Armored Mewtwo #SM228,https://www.pricecharting.com/game/pokemon-promo/armored-mewtwo-sm228,173.75,638.91,8952.98
pokemon-promo,844527,Pikachu #HGSS03,https://www.pricecharting.com/game/pokemon-promo/pikachu-hgss03,23.73,189.99,8910.66
pokemon-promo,2313440,Mew #9,https://www.pricecharting.com/game/pokemon-promo/mew-9,99.5,199.98,8900.0
pokemon-promo,844587,Pikachu EX #XY124,https://www.pricecharting.com/game/pokemon-promo/pikachu-ex-xy124,169.5,2700.0,8056.25
pokemon-promo,5810759,Gengar [Prerelease Staff] #SWSH241,https://www.pricecharting.com/game/pokemon-promo/gengar-prerelease-staff-swsh241,1014.99,3025.0,8000.0
pokemon-promo,844735,Rayquaza EX #XY69,https://www.pricecharting.com/game/pokemon-promo/rayquaza-ex-xy69,46.0,605.07,7700.0
pokemon-promo,2291217,Umbreon & Darkrai GX #SM241,https://www.pricecharting.com/game/pokemon-promo/umbreon-&-darkrai-gx-sm241,223.71,470.0,7500.0
pokemon-promo,643532,Meowth #10,https://www.pricecharting.com/game/pokemon-promo/meowth-10,28.11,324.5,7500.0
pokemon-promo,845070,Mewtwo LV.X #DP28,https://www.pricecharting.com/game/pokemon-promo/mewtwo-lvx-dp28,46.5,565.72,7387.0
pokemon-promo,845061,Darkrai LV.X #DP19,https://www.pricecharting.com/game/pokemon-promo/darkrai-lvx-dp19,56.0,682.36,7300.0
pokemon-promo,845059,Dialga LV.X #DP17,https://www.pricecharting.com/game/pokemon-promo/dialga-lvx-dp17,53.4,819.0,6800.0
pokemon-promo,844584,Charizard EX #XY121,https://www.pricecharting.com/game/pokemon-promo/charizard-ex-xy121,124.3,609.0,6618.48
pokemon-promo,844585,Blastoise EX #XY122,https://www.pricecharting.com/game/pokemon-promo/blastoise-ex-xy122,190.12,1002.35,6600.0
pokemon-promo,643520,Eevee #11,https://www.pricecharting.com/game/pokemon-promo/eevee-11,45.21,299.85,6081.0
pokemon-promo,844586,Venusaur EX #XY123,https://www.pricecharting.com/game/pokemon-promo/venusaur-ex-xy123,150.85,910.67,5815.73
pokemon-promo,5632018,Charmander [Pokemon Center] #44,https://www.pricecharting.com/game/pokemon-promo/charmander-pokemon-center-44,240.84,327.5,5776.87
pokemon-promo,844634,Mega Gengar EX #XY166,https://www.pricecharting.com/game/pokemon-promo/mega-gengar-ex-xy166,91.25,910.98,5393.68
pokemon-promo,4476213,Pikachu [Snowflake Stamp] #SWSH153,https://www.pricecharting.com/game/pokemon-promo/pikachu-snowflake-stamp-swsh153,42.0,42.08,5000.0
pokemon-promo,844579,Victini #XY117,https://www.pricecharting.com/game/pokemon-promo/victini-xy117,33.17,212.71,4999.99
pokemon-promo,1656603,Special Delivery Pikachu #SWSH074,https://www.pricecharting.com/game/pokemon-promo/special-delivery-pikachu-swsh074,500.0,580.38,4999.5
