Set,Species,Card Name,Date,Year,Ungraded,Grade 7,Grade 8,Grade 9,BGS 9.5,PSA 10
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-01-01,2021,1100.0,,,,,
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-02-01,2021,931.25,,4425.0,8600.0,,
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-03-01,2021,836.25,,4843.75,8600.0,,
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-04-01,2021,940.79,3750.0,5275.0,8750.5,,12001.01
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-05-01,2021,961.84,4050.0,4124.29,7700.0,,12001.01
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-06-01,2021,1042.57,4050.0,4425.0,8075.0,,12001.01
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-07-01,2021,895.6,3617.47,4434.31,8075.0,,12001.01
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-08-01,2021,877.22,3645.23,4562.3,7700.0,,12001.01
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-09-01,2021,937.3,4050.0,4727.8,7700.0,,12001.01
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-10-01,2021,927.87,4346.18,4725.0,7700.0,,12001.01
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-11-01,2021,750.0,3908.47,4050.0,7849.5,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2021-12-01,2021,707.5,3776.83,4346.23,7713.84,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-01-01,2022,761.25,2971.0,3713.86,7700.22,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-02-01,2022,1216.35,3774.98,4147.75,7498.29,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-03-01,2022,789.3,3400.0,4000.0,7536.09,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-04-01,2022,983.09,3127.68,3975.0,7887.5,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-05-01,2022,1202.96,2850.0,4450.24,7892.71,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-06-01,2022,1319.38,2850.0,4101.0,7891.53,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-07-01,2022,1097.34,2850.0,4601.05,7875.79,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-08-01,2022,1122.7,2850.0,4600.02,7917.56,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-09-01,2022,1602.79,3080.98,4800.0,7900.64,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-10-01,2022,1138.36,3075.0,5003.0,7973.27,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-11-01,2022,1161.56,2834.67,5003.0,8201.24,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2022-12-01,2022,1160.3,3125.0,5163.0,8271.43,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-01-01,2023,1210.6,3250.0,4405.25,8271.43,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-02-01,2023,1083.55,3250.0,4800.0,8745.46,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-03-01,2023,795.04,3500.0,4800.0,8525.0,,40200.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-04-01,2023,981.0,3639.84,5104.38,8582.33,,40293.44
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-05-01,2023,1444.08,3674.55,5667.5,8886.58,,40293.44
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-06-01,2023,999.0,3674.68,5397.5,8468.75,,46553.67
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-07-01,2023,1093.46,3588.64,5260.81,8915.1,,46089.8
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-08-01,2023,1144.13,3550.0,4984.2,8645.45,,45828.47
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-09-01,2023,1169.09,3500.0,4500.0,8465.89,9312.0,45662.49
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-10-01,2023,1127.0,3050.0,4899.87,8189.77,9009.0,45493.8
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-11-01,2023,1043.88,3050.0,4821.22,8190.41,9009.0,45348.95
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2023-12-01,2023,1257.55,3050.0,5075.75,7973.39,8771.0,44406.08
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-01-01,2024,1000.0,3050.0,4925.32,7200.0,7920.0,23946.23
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-02-01,2024,1089.9,3050.0,4917.42,7200.0,7920.0,27425.71
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-03-01,2024,964.55,3388.27,4999.0,8317.03,9149.0,44399.0
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-04-01,2024,1004.38,3384.97,4949.5,8518.46,9370.0,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-05-01,2024,994.68,3863.5,5100.0,8486.75,9100.69,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-06-01,2024,991.98,3625.0,5010.21,8583.44,9442.0,29775.95
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-07-01,2024,913.49,3662.5,5049.5,8592.15,9451.0,30437.26
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-08-01,2024,874.69,3901.52,5251.0,8728.15,9601.0,30724.49
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-09-01,2024,983.63,3906.83,5298.5,8281.04,9109.0,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-10-01,2024,1625.98,3899.54,5300.0,8267.19,9094.0,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-11-01,2024,1298.0,3865.39,6275.38,8272.17,9099.0,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2024-12-01,2024,1016.8,4339.5,6175.0,8100.0,8100.35,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2025-01-01,2025,1014.53,4750.0,6175.0,8085.73,8100.35,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2025-02-01,2025,1336.85,4879.99,7322.0,8088.06,8100.35,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2025-03-01,2025,1693.34,4879.99,7549.89,7875.0,8100.35,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2025-04-01,2025,1929.16,5158.78,9247.19,10172.0,11189.0,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2025-05-01,2025,2016.7,6397.78,10300.0,10619.0,17784.87,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2025-06-01,2025,2000.0,7657.09,13043.66,14348.0,17448.23,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2025-07-01,2025,3315.62,11015.0,13547.85,14903.0,17073.57,32550.54
EX Deoxys,Rayquaza,Rayquaza [Gold Star] #107,2025-08-01,2025,2392.54,11401.06,16389.3,18028.0,19831.0,32551.47
