Set,Species,Card Name,Date,Year,Ungraded,Grade 7,Grade 8,Grade 9,BGS 9.5,PSA 10
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2021-06-01,2021,598.61,,952.5,1960.0,,4311.81
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2021-07-01,2021,713.19,,952.5,1487.37,,4211.55
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2021-08-01,2021,616.0,,772.16,1449.74,2100.0,4211.55
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2021-09-01,2021,629.84,,735.5,1449.74,2100.0,4205.38
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2021-10-01,2021,592.81,670.0,840.95,1449.74,2100.0,4619.0
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2021-11-01,2021,339.5,670.0,840.95,1632.2,2100.0,4521.0
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2021-12-01,2021,305.0,670.0,840.95,1437.98,2100.0,4327.84
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-01-01,2022,306.28,670.0,840.95,1357.5,2100.0,4228.67
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-02-01,2022,318.5,670.0,920.45,1474.51,2100.0,4416.41
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-03-01,2022,499.75,670.0,999.95,1421.55,2100.0,4288.17
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-04-01,2022,736.54,670.0,924.98,1376.47,2100.0,4294.13
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-05-01,2022,942.14,670.0,944.63,1454.82,2100.0,4200.0
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-06-01,2022,814.5,670.0,940.91,1426.39,2100.0,4222.18
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-07-01,2022,939.5,670.0,856.31,1299.99,2100.0,3473.94
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-08-01,2022,939.5,670.0,850.0,1291.53,2100.0,3899.86
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-09-01,2022,533.1,671.54,850.0,1318.89,2100.0,3991.94
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-10-01,2022,600.33,781.2,850.0,1331.45,2100.0,3748.34
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-11-01,2022,562.26,520.0,850.0,1400.0,2100.0,4000.0
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2022-12-01,2022,311.9,520.0,850.0,1325.0,2100.0,4000.0
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2023-01-01,2023,450.09,520.0,897.5,1275.0,2100.0,4000.0
Neo Destiny,Mewtwo,Shining Mewtwo [1st Edition] #109,2023-02-01,2023,472.61,520.0,920.15,1275.0,2100.0,3331.97
