Set,Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Promo,Gengar,Gengar [Prerelease Staff] #SWSH241,"$2,000.00 ","$3,218.83 ","$3,863.00 ",https://storage.googleapis.com/images.pricecharting.com/qhuxs2k7lc4b3kvm/60.jpg
Promo,Gengar,Mega Gengar EX #XY166,$138.94 ,$616.10 ,"$6,156.60 ",https://storage.googleapis.com/images.pricecharting.com/898fa756b176fe9177cf228c8bb3a82a718083a09d2b923c9b6400d759eb4334/60.jpg
Promo,Gengar,Gengar #SWSH052,$83.86 ,$149.44 ,"$1,970.12 ",https://storage.googleapis.com/images.pricecharting.com/da311118aebb4948366b96c4d4a0c18caee9974c6717eace02daa4ca0de9eb81/60.jpg
Promo,Gengar,Gengar #SWSH241,$27.27 ,$46.20 ,$325.00 ,https://storage.googleapis.com/images.pricecharting.com/d441f4c05b21bdf23226a4aab08b0e049a88996982261d898d3c17ef66be12f6/60.jpg
Promo,Mew,_____'s Mew [Play] #13,$850.00 ,"$1,550.00 ","$2,000.00 ",https://storage.googleapis.com/images.pricecharting.com/bb188058bc37aca8718dd009e17804ff0285a396e7eb70b889e22ee3051d0d5d/60.jpg
Promo,Pikachu with Grey Felt Hat,Pikachu with Grey Felt Hat #85,$846.46 ,$865.66 ,"$2,543.59 ",https://storage.googleapis.com/images.pricecharting.com/5e96704258cea7c698de7602006f71dfe88d868c0c9585a1e11055de7d488007/60.jpg
Promo,Special Delivery Bidoof,Special Delivery Bidoof #SWSH177,$581.43 ,$480.00 ,"$2,500.00 ",https://storage.googleapis.com/images.pricecharting.com/6dewpptic5b5hgac/60.jpg
Promo,Pikachu,Pikachu [1st Edition Error] #1,$545.00 ,"$1,544.00 ",,https://storage.googleapis.com/images.pricecharting.com/234bcf7ab28336c3bc2b08a4293d181b98eb31cd1047c9d59466bc6f7d21d5c8/60.jpg
Promo,Pikachu,Pikachu [Asia Championship] #101,$317.54 ,$455.99 ,$775.00 ,https://storage.googleapis.com/images.pricecharting.com/cctzg5brm36q4pal/60.jpg
Promo,Pikachu,Pikachu EX #XY124,$237.10 ,"$1,551.90 ","$7,946.07 ",https://storage.googleapis.com/images.pricecharting.com/534577ad65db5dc9048d401134c53a2594d795a1bd2d667fc83785824120f636/60.jpg
Promo,Pikachu,Pikachu [Snowflake Stamp] #DP16,$158.63 ,,,https://storage.googleapis.com/images.pricecharting.com/tmbsc6t26a4j57o5/60.jpg
Promo,Pikachu,Pikachu [Pokemon Center Stamp] #27,$137.48 ,$115.00 ,"$1,480.00 ",https://storage.googleapis.com/images.pricecharting.com/l5wcclv5wci4fd4w/60.jpg
Promo,Pikachu,Pikachu [Holo] #35,$134.39 ,$900.00 ,"$1,900.00 ",https://storage.googleapis.com/images.pricecharting.com/c775849535bbf5099d42a6044bc0cba2f8044144b0ffb2d2cbf3dd7f7919b116/60.jpg
Promo,Pikachu,Pikachu #DP16,$130.70 ,$953.54 ,"$2,691.40 ",https://storage.googleapis.com/images.pricecharting.com/f72a756ad62c84d357779f452ea1a12ed89bc8aaf9f438ebe5ea833afdf6f4b4/60.jpg
Promo,Pikachu,Pikachu [Journey Across America] #12,$119.00 ,$142.26 ,"$1,171.11 ",https://storage.googleapis.com/images.pricecharting.com/r34bzirdtxgu4jwq/60.jpg
Promo,Pikachu,Pikachu [World Championships Winner] #225,$95.05 ,$233.76 ,,https://storage.googleapis.com/images.pricecharting.com/bcn4jacppvoappfi/60.jpg
Promo,Pikachu,Pikachu [No Stamp] #190,$92.56 ,,,https://storage.googleapis.com/images.pricecharting.com/pbh6houkr4rbpja3/60.jpg
Promo,Pikachu,Pikachu [Build-A-Bear] #SM86,$88.37 ,$41.00 ,$140.96 ,https://storage.googleapis.com/images.pricecharting.com/hgjrewmbav3ekdnv/60.jpg
Promo,Pikachu,Pikachu #SM162,$86.00 ,$221.12 ,"$1,200.00 ",https://storage.googleapis.com/images.pricecharting.com/6c95b4b314fbea46536926da02fe303d97368294ba654c47072a4f8a2dc816e9/60.jpg
Promo,Pikachu,Pikachu #35,$84.00 ,$120.98 ,,https://storage.googleapis.com/images.pricecharting.com/5ujmk4junlnen77j/60.jpg
Promo,Pikachu,Pikachu #XY95,$75.65 ,$542.72 ,"$1,959.57 ",https://storage.googleapis.com/images.pricecharting.com/42006237b2999c1c157044989e16355561632ca023b594856c5a034277ff2bdb/60.jpg
Promo,Pikachu,Pikachu #26,$70.00 ,$129.48 ,"$1,037.53 ",https://storage.googleapis.com/images.pricecharting.com/90434b61ebd361717d8f5b63261548c5ffe3102988a3a5a7fa0138e9e697728a/60.jpg
Promo,Pikachu,Pikachu [KFC] #16/S-P,$69.90 ,$109.03 ,$487.97 ,https://storage.googleapis.com/images.pricecharting.com/7xlg6eq5xwvkxiik/60.jpg
Promo,Pikachu,Pikachu EX [Jumbo] #XY124,$68.79 ,,"$3,652.00 ",https://storage.googleapis.com/images.pricecharting.com/hvkmew7bgoxolgnd/60.jpg
Promo,Pikachu,Pikachu [Holo] #12,$68.18 ,$448.12 ,"$1,463.14 ",https://storage.googleapis.com/images.pricecharting.com/b6e53647329b8d455abde83b017816a931f0c21aa2358e3476e26618a8507ab4/60.jpg
Promo,Pikachu,Pikachu #SWSH020,$67.87 ,$84.99 ,$455.55 ,https://storage.googleapis.com/images.pricecharting.com/i3akmgiwkto3llj5/60.jpg
Promo,Pikachu,Pikachu [LPP Collecting Stamp] #1,$59.99 ,,,https://storage.googleapis.com/images.pricecharting.com/d87d59e6dc6121421201337fb8ed389f02a5df9d416625acccfda3dc4c521fc2/60.jpg
Promo,Pikachu,Pikachu EX #XY84,$49.01 ,$99.99 ,$281.42 ,https://storage.googleapis.com/images.pricecharting.com/d9ee52ac64c0008a300928133726817bdd3bc7784da499769065ec66568ebf75/60.jpg
Promo,Pikachu,Pikachu [Snowflake Stamp] #SWSH153,$41.00 ,$43.83 ,,https://storage.googleapis.com/images.pricecharting.com/818b02c41f6940021d2590fa074414a2ce534c13d409004573a44ba0e60e8ab7/60.jpg
Promo,Pikachu,Pikachu #XY202,$37.31 ,$146.90 ,$800.01 ,https://storage.googleapis.com/images.pricecharting.com/0602920febb9830c61806b82c1827b32f1f8ec06a28088395db2e9f6a0f1e850/60.jpg
Promo,Pikachu,Pikachu [Pizza Hut] #172/SV-P,$36.91 ,,$216.89 ,https://storage.googleapis.com/images.pricecharting.com/5uwhss5mp326awbj/60.jpg
Promo,Pikachu,Pikachu #101,$31.61 ,$36.77 ,$242.59 ,https://storage.googleapis.com/images.pricecharting.com/f70aa10124610cc539689c522d3a78fe39795bbb703fb3eaf03bbf9b814733ee/60.jpg
Promo,Pikachu,Pikachu EX [Jumbo] #XY174,$31.00 ,,,https://storage.googleapis.com/images.pricecharting.com/ba5528aa78219c20910d4795ecfb13fcf997d64c2cbf4d33cc400c73797868b0/60.jpg
Promo,Pikachu,Pikachu #BW54,$29.79 ,$134.85 ,$244.94 ,https://storage.googleapis.com/images.pricecharting.com/f495a31c311756533edc4af08be0e5a043b581112e886fc8cc4cd3f06b55b2b2/60.jpg
Promo,Pikachu,Pikachu [World Collection] #1,$27.49 ,$39.99 ,,https://storage.googleapis.com/images.pricecharting.com/2n5ykhfapiswpxiy/60.jpg
Promo,Pikachu,Pikachu #SM98,$27.14 ,$82.00 ,$235.25 ,https://storage.googleapis.com/images.pricecharting.com/46072f53c928cc5dbbd895fc043f9fb50f8bb77151c37ee90cbc3b9f8102c358/60.jpg
Promo,Pikachu,Pikachu #1,$26.87 ,$58.96 ,$635.00 ,https://storage.googleapis.com/images.pricecharting.com/5486e8f6384046c8879f909b0db9c54ea2d5f0367eb51a0ca90e643e17c829a1/60.jpg
Promo,Pikachu,Pikachu #SM157,$22.67 ,$37.81 ,$346.57 ,https://storage.googleapis.com/images.pricecharting.com/b7219c92b88f8f09cb79052e5565e147e526d610c125aa37b505da9f17e46123/60.jpg
Promo,Pikachu,Pikachu [General Mills 2017] #SM04,$22.01 ,$110.00 ,"$2,560.00 ",https://storage.googleapis.com/images.pricecharting.com/5ubcxfvpono75kzi/60.jpg
Promo,Pikachu,Pikachu #4,$21.89 ,$78.37 ,$856.80 ,https://storage.googleapis.com/images.pricecharting.com/b1627e1c706e9a64a0c450c9bc498d5fe6b400eb383ab8299bb9d8d18a7843df/60.jpg
Promo,Pikachu,Pikachu [Top Deck Magazine Jumbo] #58,$20.99 ,$408.13 ,"$2,850.00 ",https://storage.googleapis.com/images.pricecharting.com/8f988210d1dc635c3911e26b83f65751ac8c4a1ffe4858fc822b4a476522a31e/60.jpg
Promo,Pikachu,Pikachu #HGSS03,$19.83 ,$204.53 ,"$2,020.00 ",https://storage.googleapis.com/images.pricecharting.com/eeljap4jnaafgbys/60.jpg
Promo,Pikachu,Pikachu #SM86,$18.28 ,$69.01 ,$186.09 ,https://storage.googleapis.com/images.pricecharting.com/65ce2818546613f8360709d24afad3ea362339f64495ab6776334c8f884f28e7/60.jpg
Promo,Pikachu,Pikachu [Paldea] #27,$17.74 ,$34.99 ,$158.50 ,https://storage.googleapis.com/images.pricecharting.com/4c0d8eb53e586d73caf5b6c7e09db61ebb586b07ecfed287ee960ee4e7927140/60.jpg
Promo,Pikachu,Pikachu #27,$17.00 ,$29.50 ,$160.50 ,https://storage.googleapis.com/images.pricecharting.com/0154f1ef63ca28de2b41720e2730a7e95ca3016ddc850632d48840b25750a272/60.jpg
Promo,Pikachu,Pikachu #88,$15.50 ,$31.00 ,$154.55 ,https://storage.googleapis.com/images.pricecharting.com/8759ff2a3879304cd32c48caa8f4dedc126432cd1a3c3b22ea9d7dc4c399db5f/60.jpg
