Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Lugia #149,"$1,432.91","$9,220.58","$18,000.00",https://storage.googleapis.com/images.pricecharting.com/a0f2bb0216dc9e3c2ec08e57a8698598990dfe82e36ba76e8b90f2006fabd5a6/60.jpg
Umbreon #H29,$618.25,"$5,745.92","$13,000.00",https://storage.googleapis.com/images.pricecharting.com/1013b2d9993a62bbc2674daf36ebdb6525b56fa016d96192f7a760a95c934e9a/60.jpg
Nidoking #150,$375.04,"$2,739.19","$5,875.50",https://storage.googleapis.com/images.pricecharting.com/f333b68af7ed84b0456bdaa19b9955658dd6f9a3e9aa7738cb7360c3a4f67879/60.jpg
Houndoom #H11,$350.30,"$1,650.00","$7,000.00",https://storage.googleapis.com/images.pricecharting.com/46c77db6370242048b18526b5dd6622906d1cb4e7b60b782109b2eb86dd71d91/60.jpg
Tyranitar #H28,$276.47,"$2,540.14","$8,372.27",https://storage.googleapis.com/images.pricecharting.com/af090e65b183dacac523edaf2a863575caf6324ee67f8751c61eb99fed9a4e3a/60.jpg
Psyduck #104,$107.50,$300.00,$776.00,https://storage.googleapis.com/images.pricecharting.com/792c85b2a7e25172f15b96be8ca680ec558f728100b6e817800cdfb5a737d5df/60.jpg
Espeon #H9,$305.71,"$1,432.63","$5,600.00",https://storage.googleapis.com/images.pricecharting.com/bc68239cffba9ab0899030fc567275709ec197a5be6aab214f54f7c12e77fc75/60.jpg
Umbreon #41,$113.14,$204.99,$445.00,https://storage.googleapis.com/images.pricecharting.com/497573b95758d238efe7bad35517cb8ada5a7007943b75c4c3d97b73710e178f/60.jpg
Kingdra #148,$317.02,"$1,000.00","$5,100.00",https://storage.googleapis.com/images.pricecharting.com/6e1dccf112641aec6e6d615fc92f3c91075771ee8f68d81f6378c1a50f4e4f9c/60.jpg
Arcanine #H2,$259.75,"$1,407.97","$5,225.00",https://storage.googleapis.com/images.pricecharting.com/c2910eb0132dadb87fd8e44efa3e75e3d2743c74e25f3b2a8018b370b3e31b5d/60.jpg
Suicune #H25,$201.08,$779.39,"$3,900.00",https://storage.googleapis.com/images.pricecharting.com/e8580cab79e3d90c2c100a766e56ba4f7c011d2655cbd0f9f9b8947774e4315a/60.jpg
Zapdos #H32,$167.68,$750.00,"$4,500.00",https://storage.googleapis.com/images.pricecharting.com/d7a4ab9849c0f599e96fb0d6b9099eb4ad6cfa0aac7f37db4363a0e931b9367a/60.jpg
Entei #H8,$154.52,$512.43,"$4,083.30",https://storage.googleapis.com/images.pricecharting.com/0fda3070a619f2bf083b08e2dd2e4f52041b8fbf3b121db6f7af40300fa986d6/60.jpg
Psyduck [Reverse Holo] #104,$256.00,$983.00,"$8,151.39",https://storage.googleapis.com/images.pricecharting.com/c13c94705909825f450b76391ee7ed409d0c6202c97cb88306c630d7c060fe55/60.jpg
Scizor #H21,$118.31,$477.43,"$1,875.00",https://storage.googleapis.com/images.pricecharting.com/ad987627999a217f082789ebffc916fc322c0213920618c143561fe75d7f4262/60.jpg
Umbreon [Reverse Holo] #41,$208.83,$628.24,"$4,527.24",https://storage.googleapis.com/images.pricecharting.com/abeab69e4ac45ab7395455459672658812c0a0cb229574c8df7a760c1abdf6b9/60.jpg
Slowking #H22,$180.44,$401.00,"$2,023.87",https://storage.googleapis.com/images.pricecharting.com/6f7ee24bdb6784350eae7520b29bc31c5f21e0d7b9fe66b536d73ac3a0ec6bd0/60.jpg
Steelix #H23,$170.95,$550.00,$866.25,https://storage.googleapis.com/images.pricecharting.com/b6b5f5eeba06df061f0c2265ff2e77ef8f5799632d788484a510be0b17083969/60.jpg
Ninetales #H19,$124.87,$448.69,"$2,649.98",https://storage.googleapis.com/images.pricecharting.com/aa12357e2cc9f1f17f783c5e310a8241291fa5e7705d4ec9f848fb6a81d7b3a9/60.jpg
Nidoking #H18,$79.48,$376.75,$806.37,https://storage.googleapis.com/images.pricecharting.com/663fba7c4adbd54a688db072f84d89b461056396e0b67fffd0afdbe198e52474/60.jpg
Hypno #H12,$82.52,$397.88,"$1,321.37",https://storage.googleapis.com/images.pricecharting.com/3586a30a16fd63387d2e2f69b28db670d6c13f0648031a544efb80a0f0a14654/60.jpg
Kingdra #H14,$80.36,$444.70,$901.46,https://storage.googleapis.com/images.pricecharting.com/41feeec3cf9195c79e8488f570865657d54d835e9aad362390137d84dac05609/60.jpg
Wooper #117,$39.02,$165.00,$198.00,https://storage.googleapis.com/images.pricecharting.com/8a72d40716f1200fd9f7dee7a27f64356a593fc8911e0a55f0d7e233ffa42492/60.jpg
Togetic #H27,$90.02,$520.00,$930.36,https://storage.googleapis.com/images.pricecharting.com/541282fb744b701e77a42507462d6d86cfa7d0af34b3804f610614f9c09be456/60.jpg
Tyranitar #40,$77.50,$180.00,$350.00,https://storage.googleapis.com/images.pricecharting.com/6c6b0377391334f535811e941d97fe18420e820bb3e1c07271d2d508b5380611/60.jpg
Espeon #11,$83.61,$95.38,$516.25,https://storage.googleapis.com/images.pricecharting.com/c0118565e2cccb18b7ffbc4a9b927c4efc244a1e79c96540606ddb829a49f07f/60.jpg
Booster Pack,"$1,209.22","$1,348.68","$1,364.66",https://storage.googleapis.com/images.pricecharting.com/e1560cbe2173e34732bb22e898cf88e78fcaecfc5b61a3052ecfb786ec3424af/60.jpg
Ampharos #H1,$83.50,$445.21,"$5,300.00",https://storage.googleapis.com/images.pricecharting.com/731e49202a6cc3f7f0b15b72a1854612183cb4d7c32b86f54ea48574c8901e86/60.jpg
Muk #H17,$63.10,$250.44,"$1,662.41",https://storage.googleapis.com/images.pricecharting.com/57a1c0e3cff223fb2778edd7a9723011e9c7db0f80f4df5747b527c120912156/60.jpg
Tentacruel #H26,$67.22,$300.00,"$1,580.61",https://storage.googleapis.com/images.pricecharting.com/c2dcb29e385b35fe99b372da336dea7f45acf3fcafe67b201968c0997158af7d/60.jpg
