Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Charizard [1st Edition] #4,"$5,000.00","$63,174.53","$269,250.00",https://storage.googleapis.com/images.pricecharting.com/gmkd37jg7haprczl/60.jpg
Charizard #4,$327.50,"$2,640.72","$18,055.00",https://storage.googleapis.com/images.pricecharting.com/v26m3g4sjpch7yry/60.jpg
Machamp [1st Edition] #8,$16.81,$208.00,"$3,830.50",https://storage.googleapis.com/images.pricecharting.com/91aa3156232af474ab31532da48755643508b4ba4039ddb1989a3f933b70e118/60.jpg
Blastoise #2,$80.01,$932.50,"$7,405.50",https://storage.googleapis.com/images.pricecharting.com/fduultrrfpaofkxz/60.jpg
Charizard [Shadowless] #4,"$1,000.00","$9,910.42","$30,100.00",https://storage.googleapis.com/images.pricecharting.com/0e3bbf4bbd5b02a86e496ede579a072a5fa51c34136cb85cb5d3222e4d11dc9b/60.jpg
Mewtwo #10,$28.50,$360.37,"$3,061.11",https://storage.googleapis.com/images.pricecharting.com/0374cd52bb22be6591b9807241107c22c6f72b2f071869c6e6342a156be99e10/60.jpg
Venusaur #15,$68.97,$595.97,"$3,227.51",https://storage.googleapis.com/images.pricecharting.com/jw45qdlqbx652hmf/60.jpg
Pikachu #58,$4.00,$60.00,$490.00,https://storage.googleapis.com/images.pricecharting.com/edi66k3j3htnzmqn/60.jpg
Gyarados #6,$16.57,$168.50,"$2,016.94",https://storage.googleapis.com/images.pricecharting.com/416dd89a3567bdca9fbccd2a751c54557bd9cf2210351de3e8913949659c6be3/60.jpg
Blastoise [1st Edition] #2,"$1,086.59","$8,998.00","$35,752.56",https://storage.googleapis.com/images.pricecharting.com/d6b3d8aa2831f1e34e9480af1358692508e1d3070050e728bda8d5edbca95f9e/60.jpg
Booster Box [1st Edition],"$4,900.00",,,https://storage.googleapis.com/images.pricecharting.com/91749045dc974aaeaf9943a17290bb3affadda4fd4e245c1dc58f3de87a9fb10/60.jpg
Pikachu [1st Edition] #58,$122.25,$653.25,"$3,468.43",https://storage.googleapis.com/images.pricecharting.com/a6f716145c0e1672a75fbe58afe4ac7a4b521a5df3f653921b7bf6595876d2b2/60.jpg
Ninetales #12,$12.00,$145.87,"$1,098.55",https://storage.googleapis.com/images.pricecharting.com/ywmwry3xp24ylmc4/60.jpg
Mewtwo [1st Edition] #10,$522.75,"$5,428.20","$53,854.43",https://storage.googleapis.com/images.pricecharting.com/03c624cc81ad08565897666463df4fa337def12262431f6e447924f3977b4856/60.jpg
Zapdos #16,$19.50,$162.75,"$1,446.00",https://storage.googleapis.com/images.pricecharting.com/c68de3d4f63adc0f7f641ea513dd197356860fc3326d955def5c17c70052bcfc/60.jpg
Alakazam #1,$24.28,$268.72,"$1,903.50",https://storage.googleapis.com/images.pricecharting.com/c377255c9193086af0d715d279d4fda50021ddd332977ac5974dd5bd004e695c/60.jpg
Charmander #46,$1.99,$49.02,$243.75,https://storage.googleapis.com/images.pricecharting.com/k2xixnm7vvqjuk7b/60.jpg
Raichu #14,$24.67,$255.00,"$2,736.00",https://storage.googleapis.com/images.pricecharting.com/69fc4a31bea50863341ef21ae87bdb487a377ab96612ddd2ebc39d0641748b8c/60.jpg
Chansey #3,$17.75,$100.00,"$4,966.02",https://storage.googleapis.com/images.pricecharting.com/va2mjhk5v2rtxxe3/60.jpg
Venusaur [1st Edition] #15,$800.00,"$5,871.33","$45,410.00",https://storage.googleapis.com/images.pricecharting.com/qcyg7xxwfqtqqkhj/60.jpg
Booster Pack [1st Edition],$600.00,"$5,328.86","$9,816.05",https://storage.googleapis.com/images.pricecharting.com/46836f7c135e706c48208e9dcfd759397baed9a68a4dd6cc6c23335ca84f7610/60.jpg
Charmander [1st Edition] #46,$75.32,$490.00,"$2,525.00",https://storage.googleapis.com/images.pricecharting.com/b657851998d20835db0d6de485bc80b891dd3a8bcd906de7af533ad1202a4d95/60.jpg
Pikachu [Shadowless Red Cheeks] #58,$42.38,$247.61,"$2,422.29",https://storage.googleapis.com/images.pricecharting.com/47396a6a09d20c3b4efe6f874fc6092edbf0de01402a45b002b8f3ffa3cc9302/60.jpg
Hitmonchan #7,$12.54,$160.31,"$1,311.20",https://storage.googleapis.com/images.pricecharting.com/e31d05739c6a5449f22f91f25332c068c07a768deac903c6df7f70988f42df7b/60.jpg
Booster Pack,$952.77,$535.00,"$1,275.00",https://storage.googleapis.com/images.pricecharting.com/765dcc4e01db9def647f93c2ed938f9dfdd3b20619e6b1aadbe30f7486fb2800/60.jpg
Nidoking #11,$22.27,$153.00,"$1,339.48",https://storage.googleapis.com/images.pricecharting.com/ub7hurj6g3mqkl5f/60.jpg
Squirtle #63,$3.29,$55.00,$344.07,https://storage.googleapis.com/images.pricecharting.com/9ca5bf9c81eb554839b7da74d8e9282d1fdf19452f53fbf06ed083a983b70b56/60.jpg
Bulbasaur #44,$2.39,$47.10,$248.00,https://storage.googleapis.com/images.pricecharting.com/eab279230246322cf36f4cab226f953bbcd0e7e47e4df4d59468b6c5245ae62a/60.jpg
Pikachu [1st Edition Red Cheeks] #58,$87.08,"$2,412.50","$13,888.00",https://storage.googleapis.com/images.pricecharting.com/4ef4f1528983a493497b79910f130a551590fd77f3baf490d02ab59ce6880bb6/60.jpg
Booster Box,"$31,000.00",,,https://storage.googleapis.com/images.pricecharting.com/da56f9168ae5191c976d68dfa42b598a74c0ef47b78977250456d81337475d34/60.jpg
Chansey [1st Edition] #3,$322.71,"$2,761.00","$40,000.00",https://storage.googleapis.com/images.pricecharting.com/a602c8cbd84ed4a7b505f5a7841c1644687ff59f30293c5150125c2a132de762/60.jpg
Charmeleon #24,$2.29,$42.50,$195.33,https://storage.googleapis.com/images.pricecharting.com/302cffd62f3dd28dea6e685c7d145700a752a1a353b1cd6b309dc9924a7ee800/60.jpg
Poliwrath #13,$18.50,$132.91,"$1,092.72",https://storage.googleapis.com/images.pricecharting.com/548a35b585a2a50ad54d63bc2f5af5582d72f5bb53015b910299d38c50d7f68c/60.jpg
Machamp [Shadowless] #8,$79.32,$680.00,"$7,123.00",https://storage.googleapis.com/images.pricecharting.com/4e7c695819cd3a5feeb1a057fea59966a56026d083bc212896aecea47cd2c457/60.jpg
Clefairy #5,$15.00,$103.92,"$4,099.99",https://storage.googleapis.com/images.pricecharting.com/47d59467ece3bf922c56e3d649493160dd86c45252e7895a78693de79d34b72d/60.jpg
Zapdos [1st Edition] #16,$238.76,"$2,125.00","$8,937.01",https://storage.googleapis.com/images.pricecharting.com/feb46c3da5c5ef2f05514e85060bf7865f4d288f0b5b90a443282dc71ddc0363/60.jpg
Blastoise [Shadowless] #2,$253.08,"$2,646.62","$20,250.00",https://storage.googleapis.com/images.pricecharting.com/0f6ceabe0130339374548abe87c18eb15bdb5b5b4dd3fb3fce8f3b72798ea32a/60.jpg
Charizard [1999-2000] #4,$294.03,"$5,433.69","$13,856.31",https://storage.googleapis.com/images.pricecharting.com/hehi275inmsjbx34/60.jpg
Gyarados [1st Edition] #6,$551.51,"$3,934.53","$11,630.09",https://storage.googleapis.com/images.pricecharting.com/3cdea58f46b3cb01300307b708c1028673aba685dee3baa36dab1a1aea81561a/60.jpg
