Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Pikachu #172,"$1,225.06","$1,670.00","$2,412.00",https://storage.googleapis.com/images.pricecharting.com/zc2i3qivbyg6u3go/60.jpg
Mew EX #191,$152.50,$170.00,$364.57,https://storage.googleapis.com/images.pricecharting.com/tgoamscp6u3dk2nb/60.jpg
Pikachu #171,$529.77,$534.80,"$1,109.22",https://storage.googleapis.com/images.pricecharting.com/i6xyp6bioo3oz6ko/60.jpg
Pikachu #173,$559.44,$405.05,"$1,399.00",https://storage.googleapis.com/images.pricecharting.com/3b7who4cef5e3sc2/60.jpg
Pikachu #170,$511.60,$500.00,"$1,095.00",https://storage.googleapis.com/images.pricecharting.com/ibfudrrqqlqpn3rt/60.jpg
Booster Box,$48.88,,,https://storage.googleapis.com/images.pricecharting.com/5gyvlmg3xawcaxwh/60.jpg
Booster Box [Surprise Jumbo],$144.45,,,https://storage.googleapis.com/images.pricecharting.com/5ylbf5mspyrp5v6c/60.jpg
Charizard ex #175,$10.71,$17.50,$66.88,https://storage.googleapis.com/images.pricecharting.com/niv26ld2y7jyngx6/60.jpg
Zapdos EX #190,$26.49,,$85.00,https://storage.googleapis.com/images.pricecharting.com/corrdubygllaogb7afrs/60.jpg
Gengar #94,$3.84,$15.28,$32.00,https://storage.googleapis.com/images.pricecharting.com/msyzhlqxjhbxqpc4/60.jpg
Booster Box [Surprise Slim],$58.36,,,https://storage.googleapis.com/images.pricecharting.com/xwrkba3blw2n6l4g/60.jpg
Alakazam ex #189,$19.80,$10.25,$99.93,https://storage.googleapis.com/images.pricecharting.com/uveadwkff2inhac6/60.jpg
Booster Pack,$20.00,,,https://storage.googleapis.com/images.pricecharting.com/kl35iqjenowq54iy/60.jpg
Chinese New Year Collection Box,$100.35,,,https://storage.googleapis.com/images.pricecharting.com/k3n5vdnhxhbtybfl/60.jpg
Mew EX #188,$11.50,$15.50,$73.05,https://storage.googleapis.com/images.pricecharting.com/qr7cqwl7z55z5n5x/60.jpg
Charizard EX #6,$3.05,$15.20,$45.58,https://storage.googleapis.com/images.pricecharting.com/gjun72ktzna25sya/60.jpg
Mew EX #192,$12.64,$31.21,$107.33,https://storage.googleapis.com/images.pricecharting.com/iqdjqaprjf7cr233/60.jpg
Arcanine #59,$16.72,$46.18,$138.62,https://storage.googleapis.com/images.pricecharting.com/ke7ka3djva4zqcos/60.jpg
Gengar [Master Ball] #94,,,,https://storage.googleapis.com/images.pricecharting.com/mkm5q5kubqs6unjw/60.jpg
Blastoise ex #176,$5.50,$10.00,$45.94,https://storage.googleapis.com/images.pricecharting.com/dczlo6ohwklxq7bc/60.jpg
Gengar [Reverse] #94,$3.95,$15.50,$259.99,https://storage.googleapis.com/images.pricecharting.com/e5doitihpbggfdxj/60.jpg
Pikachu #25,$3.25,$11.15,$29.99,https://storage.googleapis.com/images.pricecharting.com/crdaeez75alfwplt/60.jpg
Mew EX #185,$8.07,$21.14,$38.50,https://storage.googleapis.com/images.pricecharting.com/qjfkwf2xn6dmcn5l/60.jpg
Lickitung #108,$3.47,,,https://storage.googleapis.com/images.pricecharting.com/cwa6tbid7me3teyw/60.jpg
Charmander #152,$5.90,$12.99,$60.97,https://storage.googleapis.com/images.pricecharting.com/dvruymrf4yzeucif/60.jpg
