Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Pikachu,Pikachu #172,"$1,225.06","$1,670.00","$2,412.00",https://storage.googleapis.com/images.pricecharting.com/zc2i3qivbyg6u3go/60.jpg
Pikachu,Pikachu #173,$559.44,$405.05,"$1,399.00",https://storage.googleapis.com/images.pricecharting.com/3b7who4cef5e3sc2/60.jpg
Pikachu,Pikachu #171,$529.77,$534.80,"$1,109.22",https://storage.googleapis.com/images.pricecharting.com/i6xyp6bioo3oz6ko/60.jpg
Pikachu,Pikachu #170,$511.60,$500.00,"$1,095.00",https://storage.googleapis.com/images.pricecharting.com/ibfudrrqqlqpn3rt/60.jpg
Pikachu,Pikachu #25,$3.25,$11.15,$29.99,https://storage.googleapis.com/images.pricecharting.com/crdaeez75alfwplt/60.jpg
Pikachu,Pikachu [Reverse] #25,$3.20,$15.10,$45.34,https://storage.googleapis.com/images.pricecharting.com/rfzlclclgjdolk5k/60.jpg
Pikachu,Pikachu [Master Ball] #25,,,,https://storage.googleapis.com/images.pricecharting.com/al7mybf6afln7rkx/60.jpg
Mew,Mew EX #191,$152.50,$170.00,$364.57,https://storage.googleapis.com/images.pricecharting.com/tgoamscp6u3dk2nb/60.jpg
Mew,Mew EX #192,$12.64,$31.21,$107.33,https://storage.googleapis.com/images.pricecharting.com/iqdjqaprjf7cr233/60.jpg
Mew,Mew EX #188,$11.50,$15.50,$73.05,https://storage.googleapis.com/images.pricecharting.com/qr7cqwl7z55z5n5x/60.jpg
Mew,Mew EX #185,$8.07,$21.14,$38.50,https://storage.googleapis.com/images.pricecharting.com/qjfkwf2xn6dmcn5l/60.jpg
Mew,Mew EX #151,$3.03,$6.00,$46.60,https://storage.googleapis.com/images.pricecharting.com/vtrju6mlzlqjfakb/60.jpg
Booster Box,Booster Box [Surprise Jumbo],$144.45,,,https://storage.googleapis.com/images.pricecharting.com/5ylbf5mspyrp5v6c/60.jpg
Booster Box,Booster Box [Volume 4],$59.99,,,https://storage.googleapis.com/images.pricecharting.com/fje3xpaxm62vzrba/60.jpg
Booster Box,Booster Box [Surprise Slim],$58.36,,,https://storage.googleapis.com/images.pricecharting.com/xwrkba3blw2n6l4g/60.jpg
Booster Box,Booster Box,$48.88,,,https://storage.googleapis.com/images.pricecharting.com/5gyvlmg3xawcaxwh/60.jpg
Chinese New Year Collection Box,Chinese New Year Collection Box,$100.35,,,https://storage.googleapis.com/images.pricecharting.com/k3n5vdnhxhbtybfl/60.jpg
Zapdos,Zapdos EX #190,$26.49,,$85.00,https://storage.googleapis.com/images.pricecharting.com/corrdubygllaogb7afrs/60.jpg
Zapdos,Zapdos EX #145,$3.01,$14.40,$43.17,https://storage.googleapis.com/images.pricecharting.com/qn2hyd4cmbkmc4fb/60.jpg
Zapdos,Zapdos EX #184,$2.63,$14.56,$43.65,https://storage.googleapis.com/images.pricecharting.com/adq6v3xdig52wevq/60.jpg
Cubone,Cubone #104,$25.11,$47.02,$141.01,https://storage.googleapis.com/images.pricecharting.com/jgoo6c65pa3recpr/60.jpg
Cubone,Cubone [Reverse] #104,$1.89,,,https://storage.googleapis.com/images.pricecharting.com/gbsyehbwnfkngezz/60.jpg
Cubone,Cubone [Master Ball] #104,,,,https://storage.googleapis.com/images.pricecharting.com/q35p22jdwegj3wcs/60.jpg
Growlithe,Growlithe #58,$20.33,$8.99,,https://storage.googleapis.com/images.pricecharting.com/jks4swb5upvjicao/60.jpg
Growlithe,Growlithe [Reverse] #58,$2.28,,,https://storage.googleapis.com/images.pricecharting.com/tc5ox7lbikfcb76u/60.jpg
Growlithe,Growlithe [Master Ball] #58,,,,https://storage.googleapis.com/images.pricecharting.com/dwrmeym4rykblz6r/60.jpg
Booster Pack,Booster Pack,$20.00,,,https://storage.googleapis.com/images.pricecharting.com/kl35iqjenowq54iy/60.jpg
Booster Pack,Booster Pack [Gengar],,,,https://storage.googleapis.com/images.pricecharting.com/7oy7yuhmslklydvt/60.jpg
Alakazam,Alakazam ex #189,$19.80,$10.25,$99.93,https://storage.googleapis.com/images.pricecharting.com/uveadwkff2inhac6/60.jpg
Alakazam,Alakazam EX #180,$3.00,$14.38,$43.13,https://storage.googleapis.com/images.pricecharting.com/o4lnybjankstdidh/60.jpg
Alakazam,Alakazam EX #187,$2.40,$3.25,$26.00,https://storage.googleapis.com/images.pricecharting.com/pku2pdes62io2gty/60.jpg
Alakazam,Alakazam EX #65,$1.63,$12.14,$36.44,https://storage.googleapis.com/images.pricecharting.com/eza3zgpzi3menfim/60.jpg
Dratini,Dratini #147,$19.46,$47.37,$142.06,https://storage.googleapis.com/images.pricecharting.com/dvbimdcsahxhs6tp/60.jpg
Dratini,Dratini [Reverse] #147,$3.50,,$19.99,https://storage.googleapis.com/images.pricecharting.com/orqjafzsmiy327ev/60.jpg
Dratini,Dratini [Master Ball] #147,,,,https://storage.googleapis.com/images.pricecharting.com/aezfv5xpo4paldwi/60.jpg
Ivysaur,Ivysaur [Master Ball] #2,$18.99,,,https://storage.googleapis.com/images.pricecharting.com/wpkapsavsoqtijv4/60.jpg
Ivysaur,Ivysaur #2,$15.62,,,https://storage.googleapis.com/images.pricecharting.com/mvkgffkhzdddlv7h/60.jpg
Ivysaur,Ivysaur [Reverse] #2,$1.25,,,https://storage.googleapis.com/images.pricecharting.com/ogonfzb4ihrj2ejq/60.jpg
Arcanine,Arcanine #59,$16.72,$46.18,$138.62,https://storage.googleapis.com/images.pricecharting.com/ke7ka3djva4zqcos/60.jpg
Arcanine,Arcanine [Reverse] #59,$1.68,,,https://storage.googleapis.com/images.pricecharting.com/tyy52lld5fwbteca/60.jpg
Arcanine,Arcanine [Master Ball] #59,,,,https://storage.googleapis.com/images.pricecharting.com/fu5lyd5wr53ibyit/60.jpg
Sandslash,Sandslash #28,$15.88,,,https://storage.googleapis.com/images.pricecharting.com/4yaumwywi3ygeonb/60.jpg
Sandslash,Sandslash [Reverse] #28,$2.07,,,https://storage.googleapis.com/images.pricecharting.com/3mzslvtzvkpdbkzj/60.jpg
Sandslash,Sandslash [Master Ball] #28,,,,https://storage.googleapis.com/images.pricecharting.com/j75yeg2bswthf6k5/60.jpg
Clefable,Clefable [Master Ball] #36,$12.88,,,https://storage.googleapis.com/images.pricecharting.com/3ydci32haiq3h6nx/60.jpg
Clefable,Clefable [Reverse] #36,$3.00,,,https://storage.googleapis.com/images.pricecharting.com/xuch4biirxgaawxw/60.jpg
Clefable,Clefable #36,$1.25,,,https://storage.googleapis.com/images.pricecharting.com/lglsfebhayfxl44r/60.jpg
Charizard,Charizard ex #175,$10.71,$17.50,$66.88,https://storage.googleapis.com/images.pricecharting.com/niv26ld2y7jyngx6/60.jpg
Charizard,Charizard EX #6,$3.05,$15.20,$45.58,https://storage.googleapis.com/images.pricecharting.com/gjun72ktzna25sya/60.jpg
Pidgeotto,Pidgeotto #17,$10.00,,,https://storage.googleapis.com/images.pricecharting.com/chxxwonmlb76uf3c/60.jpg
Pidgeotto,Pidgeotto #154,$3.13,$3.25,$79.99,https://storage.googleapis.com/images.pricecharting.com/cjhvt7gwuap7jiu6/60.jpg
Pidgeotto,Pidgeotto [Reverse] #17,$1.69,,,https://storage.googleapis.com/images.pricecharting.com/5ehszmow63zgfa6b/60.jpg
Pidgeotto,Pidgeotto [Master Ball] #17,,,,https://storage.googleapis.com/images.pricecharting.com/7h6q2qowyuqzmsbe/60.jpg
Victreebel,Victreebel #71,$7.99,,,https://storage.googleapis.com/images.pricecharting.com/tc7tnkgyzcxjmhvs/60.jpg
Victreebel,Victreebel [Reverse] #71,$1.79,,,https://storage.googleapis.com/images.pricecharting.com/wxmk3xrsvng3d3rd/60.jpg
Victreebel,Victreebel [Master Ball] #71,,,,https://storage.googleapis.com/images.pricecharting.com/brjtbtchpg545vn3/60.jpg
Poliwhirl,Poliwhirl #61,$7.50,,,https://storage.googleapis.com/images.pricecharting.com/v2kuf2tz7gcjwgo2/60.jpg
