Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Booster Box,Booster Box,"$20,699.35",,,https://storage.googleapis.com/images.pricecharting.com/c75d6042a64a336a905fd01015c182ff31d5a3da5259a204fa996d2196a74836/60.jpg
Rayquaza,Rayquaza [Gold Star] #107,"$5,566.92","$23,836.34","$48,598.00",https://storage.googleapis.com/images.pricecharting.com/7bxilsmsywql2lf4/60.jpg
Rayquaza,Rayquaza EX #102,$172.79,"$1,654.29","$6,100.00",https://storage.googleapis.com/images.pricecharting.com/684ac4af207e11b52d9bae2d9e24bd854a65d25afc20b414df823d8e9aa8c8f5/60.jpg
Rayquaza,Rayquaza [Reverse Holo] #22,$125.00,$893.75,"$3,447.43",https://storage.googleapis.com/images.pricecharting.com/316f19fc805439758381353c3aaec86baec93fd5ecbfc640e1e13910b557beb1/60.jpg
Rayquaza,Rayquaza [Holo] #22,$25.62,$528.64,"$4,750.00",https://storage.googleapis.com/images.pricecharting.com/fzxrjcad75qbuzhk/60.jpg
Rayquaza,Rayquaza #22,$10.06,$99.36,$300.00,https://storage.googleapis.com/images.pricecharting.com/e756b414629c391875245e2d324781c2daf105ae59d0a5c16681199ada9ea78c/60.jpg
Rayquaza,Rayquaza [Gym Challenge Promo] #22,,,$500.00,https://storage.googleapis.com/images.pricecharting.com/30d2b552c47f88cfae950ed55265857a69fbc249cef13cb8397b9b872bd6fe9b/60.jpg
Deoxys,Deoxys [Stadium Challenge] #16,"$5,250.00","$5,066.00","$8,246.40",https://storage.googleapis.com/images.pricecharting.com/n7glwqp5scaglxzo/60.jpg
Deoxys,Deoxys EX #97,$136.49,$786.84,"$4,561.00",https://storage.googleapis.com/images.pricecharting.com/a3300e08d84f9bce1aaaaa78a935d00e5c51370ea0d48d8bcfc91dfe4bf2e253/60.jpg
Deoxys,Deoxys [Reverse Holo] #16,$127.84,$533.13,"$2,043.62",https://storage.googleapis.com/images.pricecharting.com/1377b2811aaf8879bcdadb6cd625539d27c1c4b842a2637c81a13934d06cf925/60.jpg
Deoxys,Deoxys EX #99,$103.69,$487.63,"$2,514.13",https://storage.googleapis.com/images.pricecharting.com/29ba7f99ff542f5e43de4cf71fc1b3139ff892cfd56ec57335b2e6ce55d8596d/60.jpg
Deoxys,Deoxys [Reverse Holo] #17,$85.90,$499.00,"$2,775.00",https://storage.googleapis.com/images.pricecharting.com/fed58ea10e3c3059d48f86aa97490fff3b31141ae2c8401eac984a3045be2797/60.jpg
Deoxys,Deoxys EX #98,$80.50,$380.03,"$2,275.00",https://storage.googleapis.com/images.pricecharting.com/23cb36a034d9effde6446b37e84db945ebb37e9cd510616d55cd782bcaced8c2/60.jpg
Deoxys,Deoxys [Reverse Holo] #18,$62.21,$336.37,$665.82,https://storage.googleapis.com/images.pricecharting.com/b4eadedf4f8cba6d724b4516ff7830ca0fe29f62af7f57b848e95e7e0596164c/60.jpg
Deoxys,Deoxys [Destiny Deoxys] #16,$35.43,$97.73,$627.66,https://storage.googleapis.com/images.pricecharting.com/ow7gh7waxhp3yi6c/60.jpg
Deoxys,Deoxys [Regional Championships] #16,$30.00,$119.87,$171.20,https://storage.googleapis.com/images.pricecharting.com/9e4be5587ddadfad99ea89a3729d14df8d8fbf11a007e442b101e139314ae23d/60.jpg
Deoxys,Deoxys #16,$8.87,$70.35,$343.75,https://storage.googleapis.com/images.pricecharting.com/4858ce6542c5864e464c16a7b2d3216cd48de493a1dd8ee8781903f5ebaee7b1/60.jpg
Deoxys,Deoxys #18,$7.00,$40.00,$131.57,https://storage.googleapis.com/images.pricecharting.com/6722c5d73d079cbb5b728e41f3119efe0d7c8c407de7c97c4b5ae4728ac8a356/60.jpg
Deoxys,Deoxys [Pokemon Day] #16,$6.86,,,https://storage.googleapis.com/images.pricecharting.com/ab88709beb2ca090bb9875be1257f9342283a139f280388c46105201f8b43ae2/60.jpg
Deoxys,Deoxys #17,$5.85,$39.64,$95.01,https://storage.googleapis.com/images.pricecharting.com/488f3eb2628bf97c4115b1d054878e038b44bfadd62f17ec9d83de8a70210247/60.jpg
Latias,Latias [Gold Star] #105,"$1,750.00","$12,899.05","$19,317.50",https://storage.googleapis.com/images.pricecharting.com/ralv7f5or4fkysaj/60.jpg
Booster Pack,Booster Pack,"$1,309.62",$938.00,"$1,226.00",https://storage.googleapis.com/images.pricecharting.com/7508b722a691b172372fd7515b863e2b07adad030bc8dcce6ca98821cd6d8049/60.jpg
Latios,Latios [Gold Star] #106,"$1,199.19","$7,780.50","$32,800.00",https://storage.googleapis.com/images.pricecharting.com/8b738f2861afe7ccec2c05e0e589854740d228de7083f2d1fa084302f6b2cf57/60.jpg
Rocket's Raikou,Rocket's Raikou EX #108,$232.50,$416.61,"$3,600.00",https://storage.googleapis.com/images.pricecharting.com/f5693e5a1f0060f19e25871fc6a1027f896d59a1f05565a12f4cf0cae9821a56/60.jpg
Sableye,Sableye [Reverse Holo] #23,$200.33,"$1,046.17","$1,111.00",https://storage.googleapis.com/images.pricecharting.com/jagffw3lxs7jr64k/60.jpg
Sableye,Sableye #23,$13.99,$154.00,"$7,891.87",https://storage.googleapis.com/images.pricecharting.com/9c2243de84f08d0cf8659d0d60da4d9990ba8f103c80b78867e1e6431961bc1a/60.jpg
Gyarados,Gyarados [Reverse Holo] #8,$125.04,"$1,135.99","$3,900.00",https://storage.googleapis.com/images.pricecharting.com/8a3690ee109dac78f2483016afb8612e97392cadcf6e73ec79ba1a1805cb9126/60.jpg
Gyarados,Gyarados #8,$38.63,$212.44,"$1,797.35",https://storage.googleapis.com/images.pricecharting.com/3935a783c73436bdb8050168277734af8d2525260c818ff976a8b4c68093458d/60.jpg
Salamence,Salamence EX #103,$93.66,$587.50,"$2,101.25",https://storage.googleapis.com/images.pricecharting.com/09fa9550021f67c4d5de51780265a3402cac46dc3ea51c0cd058e76d3c0ab7f4/60.jpg
Jirachi,Jirachi [Reverse Holo] #9,$90.28,$362.13,$431.00,https://storage.googleapis.com/images.pricecharting.com/1cf113f14c8fe20e2ab6b41ff824ca1429f1c8d4a2367b0e586e7f47f92c8fe8/60.jpg
Jirachi,Jirachi #9,$35.67,$175.00,$787.00,https://storage.googleapis.com/images.pricecharting.com/b062a0d95b9f14f2ce710729ffee9e2b0d9a3ce4b07ba758679d83e9207e68eb/60.jpg
Sharpedo,Sharpedo EX #104,$86.13,$198.48,$625.96,https://storage.googleapis.com/images.pricecharting.com/8fbc736ad710e5669e96b7ca5a68495a46962d9c35764d8f2a3109fa3f7353f6/60.jpg
Metagross,Metagross [Reverse Holo] #11,$71.02,$108.15,"$1,854.95",https://storage.googleapis.com/images.pricecharting.com/ab80d7c479f7cdcc039ae46be4bfb963ab55f264be05bc61b475ba482c9d6474/60.jpg
Metagross,Metagross #11,$19.99,$88.90,$845.00,https://storage.googleapis.com/images.pricecharting.com/a865682391c668305103c237dad5d912ee5897ed66800b3bc38829024afcd5ba/60.jpg
Magikarp,Magikarp [Reverse Holo] #64,$69.18,$349.91,"$1,425.00",https://storage.googleapis.com/images.pricecharting.com/db8d19f92a83f84efd5198e092a21f221264fa28f8813c34b5d97b6e9729a27e/60.jpg
Magikarp,Magikarp #64,$7.62,$24.99,$105.00,https://storage.googleapis.com/images.pricecharting.com/97aafde0b28cc6026d0a6ee550e45795ba0963daac47c03b8488b85cdf98dce4/60.jpg
Crobat,Crobat EX #96,$67.73,$269.77,"$1,156.31",https://storage.googleapis.com/images.pricecharting.com/7c99254142dac0e1a98ec1a120a2e7fafd4762b4a06614d253f4a804be1040a3/60.jpg
Plusle,Plusle [Reverse Holo] #44,$63.00,$111.99,$216.27,https://storage.googleapis.com/images.pricecharting.com/a9a7ad733016f492238a13c92e3f30094bfacf8ebb2408a1e805fc2b42aef919/60.jpg
Plusle,Plusle #44,$5.50,$37.00,$99.95,https://storage.googleapis.com/images.pricecharting.com/745564e19075335034120800291b33d265c5fe254dbbe532b2a8516cb69136f1/60.jpg
Manectric,Manectric EX #101,$50.00,$243.50,"$1,241.01",https://storage.googleapis.com/images.pricecharting.com/ae77112307f8b979cbfebfe2e66d4e03a3103e16b84005c55da36c4499f405b8/60.jpg
Manectric,Manectric [Prerelease] #38,$21.50,$69.00,$286.36,https://storage.googleapis.com/images.pricecharting.com/31d549828f942ef445b77509812801a1f71e27ab7ad0070414c613574e87f20f/60.jpg
Manectric,Manectric [Reverse Holo] #38,$18.99,$64.89,$150.00,https://storage.googleapis.com/images.pricecharting.com/aprvrp3aymqatxg4/60.jpg
Manectric,Manectric #38,$1.39,$25.32,$53.84,https://storage.googleapis.com/images.pricecharting.com/axsguh6i7njqccfs/60.jpg
Altaria,Altaria [Reverse Holo] #1,$40.92,$192.50,$324.29,https://storage.googleapis.com/images.pricecharting.com/5e2850959fc7811455635fc4ec2970bd750d9e610d6d9da91d21e705375c13c6/60.jpg
Altaria,Altaria #1,$25.41,$67.75,$635.00,https://storage.googleapis.com/images.pricecharting.com/e0823d9b007548a6354ffd11e561ba74307ab95b2c819a792b3ae2a686bdd253/60.jpg
Space Center,Space Center [10th Anniversary] #91,$39.99,$33.99,$399.99,https://storage.googleapis.com/images.pricecharting.com/398a54bf863dc68454dc90219aa8d856e11c2994dd88c0f866471fa3e5e80b0b/60.jpg
Space Center,Space Center [Reverse Holo] #91,$12.50,$38.49,$414.09,https://storage.googleapis.com/images.pricecharting.com/3588fc976daf4bdc7d6bf677c4306c8123da099dabc9fb19fc59ecc1b0f5ff38/60.jpg
Space Center,Space Center #91,$2.82,$30.97,$370.38,https://storage.googleapis.com/images.pricecharting.com/4261086e09c79cb3ef3be5379d2bcd9a645a94e5b62010534cfdca1f05b3298a/60.jpg
Minun,Minun [Reverse Holo] #41,$38.01,$81.09,$234.99,https://storage.googleapis.com/images.pricecharting.com/6c0077b41cae0cb772a93e69fd2e29266a9a7945374fcf1d707bc1cef27f4a1d/60.jpg
Minun,Minun #41,$8.99,$52.00,$149.99,https://storage.googleapis.com/images.pricecharting.com/23826d5a54d477e97a6589c3e4f7dfe14a84d09dc53344cb1934a1fc8f0fa322/60.jpg
Hariyama,Hariyama EX #100,$35.51,$110.00,"$1,001.31",https://storage.googleapis.com/images.pricecharting.com/ebcf2fdd8b7eb9a56db0967d86effa26752d858dc9fb209d5ed37fc7069bf8e2/60.jpg
Shedinja,Shedinja [Reverse Holo] #14,$34.00,$58.37,$249.99,https://storage.googleapis.com/images.pricecharting.com/d805d0d07e8b445dc2d05d646c921033159e3f4b634e59456ac0b6f1f5e0784f/60.jpg
Shedinja,Shedinja #14,$13.75,$86.46,"$1,911.61",https://storage.googleapis.com/images.pricecharting.com/fcec441783cb6fe7722c16e6bd2f170875aa9cf77b21869e7ab1743831507918/60.jpg
Skarmory,Skarmory [Reverse Holo] #26,$26.57,$90.00,$345.01,https://storage.googleapis.com/images.pricecharting.com/3b656cf95d13d2814e3c30b16f209545fa46291a300e18199c09b5273c3bd23c/60.jpg
Skarmory,Skarmory #26,$3.00,$14.04,$31.91,https://storage.googleapis.com/images.pricecharting.com/c55de4610f570a4ec2a80fe6ab11131b680ed67ba9c8bca04aa8cf061f456db6/60.jpg
Breloom,Breloom [Reverse Holo] #3,$26.35,$100.12,"$1,040.51",https://storage.googleapis.com/images.pricecharting.com/hyddjp634tmcxfcz/60.jpg
Breloom,Breloom #3,$20.63,$73.32,$696.00,https://storage.googleapis.com/images.pricecharting.com/ef67a5dc54add4630de8b50eb8c68716f2a7020b5d0cc7087dc2eeafca2d4340/60.jpg
Slugma,Slugma [Reverse Holo] #74,$25.00,$98.48,"$1,280.00",https://storage.googleapis.com/images.pricecharting.com/5eriifdjpjshfroe/60.jpg
Slugma,Slugma [Reverse Holo] #75,$16.91,$34.70,$160.33,https://storage.googleapis.com/images.pricecharting.com/60f88a9dd85c06b6a239578370224020f84a45caf70495368a3a6ccc42f58b3d/60.jpg
Slugma,Slugma #75,$4.82,$22.66,$238.58,https://storage.googleapis.com/images.pricecharting.com/305a5c765e55b4c4ac0d3437f807d7aa3cd69ea17ba544129ecee4b63d5a7513/60.jpg
Slugma,Slugma #74,$1.79,$13.23,$17.51,https://storage.googleapis.com/images.pricecharting.com/d0b6add01cba9309653f8ef77b0045dd372152f3c98044cef049f98613a554b9/60.jpg
Xatu,Xatu [Reverse Holo] #29,$24.85,$59.99,$495.00,https://storage.googleapis.com/images.pricecharting.com/1099d004b1f17a9fe6f42e762f21e272cf0d3623d6cc4659591afa31981c6ad6/60.jpg
Xatu,Xatu #29,$5.99,$39.00,$45.49,https://storage.googleapis.com/images.pricecharting.com/a77e42d84fe8491857ef0d09fb6db42f6794f3fc3f82034f31f82f1e28407c95/60.jpg
Pelipper,Pelipper [Reverse Holo] #21,$24.18,$49.37,$412.35,https://storage.googleapis.com/images.pricecharting.com/10ceeebba75bf79142d5d76e71a8876966de7965ed6caef07bc2e70d6e99dc9d/60.jpg
Pelipper,Pelipper #21,$4.80,$66.00,$79.00,https://storage.googleapis.com/images.pricecharting.com/ed51a8db75b3ef8f51aecf52bef148b04e0fa4f0bbe9997428c112bc8532e855/60.jpg
Crawdaunt,Crawdaunt [Reverse Holo] #6,$23.00,$79.85,$445.00,https://storage.googleapis.com/images.pricecharting.com/holatyynwnpgwzej/60.jpg
Crawdaunt,Crawdaunt #6,$15.20,$47.04,$462.84,https://storage.googleapis.com/images.pricecharting.com/c671cf9b77cc58e4c44fe3e93e1c32260a1798fd152f411769cb83aebaebc76c/60.jpg
Metang,Metang [Reverse Holo] #40,$22.50,$43.69,$321.21,https://storage.googleapis.com/images.pricecharting.com/gkrxhqaa4towb6ip/60.jpg
Metang,Metang #40,$1.15,$15.50,$117.32,https://storage.googleapis.com/images.pricecharting.com/59cb123ef230e15b8699eb3267032a229967715f64d9cb3850f5f5aef81d85da/60.jpg
Ninjask,Ninjask [Reverse Holo] #13,$21.96,$77.00,$332.14,https://storage.googleapis.com/images.pricecharting.com/69a8d3f202576e753d5a6b8968b7a6073bace7d5727489fbf15f91ed4909a12a/60.jpg
Ninjask,Ninjask #13,$9.52,$28.91,$249.99,https://storage.googleapis.com/images.pricecharting.com/546e55a7dbd0be03bd080aaa8a9836c0e45b4d94e9671461fcd0d93b380ac73b/60.jpg
Shroomish,Shroomish [Reverse Holo] #72,$21.24,$39.99,$61.65,https://storage.googleapis.com/images.pricecharting.com/gskj5sm6sebtdqvz/60.jpg
Shroomish,Shroomish #72,$1.99,$10.06,$178.83,https://storage.googleapis.com/images.pricecharting.com/8fca4a931443e33202110a4945f612e7fa7bace5b817cb91ce9e60761969f86c/60.jpg
Master Ball,Master Ball [Reverse Holo] #88,$20.63,$22.00,$150.00,https://storage.googleapis.com/images.pricecharting.com/7e13e574a8ebdc593c73e4852604144375d2d39f3ea2feab159c1d40f7896681/60.jpg
Master Ball,Master Ball #88,$0.49,$42.00,$42.69,https://storage.googleapis.com/images.pricecharting.com/e502ec73cbfc4a3429261d26e9d56cdfe711df88c3cc8bb617a07184a1a2dfe0/60.jpg
Starmie,Starmie [Reverse Holo] #48,$20.04,$69.00,$82.00,https://storage.googleapis.com/images.pricecharting.com/ad445075f2746595d15b74b130ab218d2f68827ea95d0da77498726e3e803287/60.jpg
Starmie,Starmie #48,$2.14,$45.25,$61.25,https://storage.googleapis.com/images.pricecharting.com/0321da61f26d80f1fcaa57cadccc40bf45a04c3e8f3c582eeb652460e7adeb52/60.jpg
Dusclops,Dusclops [Reverse Holo] #7,$20.00,$74.24,$242.50,https://storage.googleapis.com/images.pricecharting.com/226d1941c3153fe041d08c75d7c636577eb14ebb9fc674d5cd0f871b34c05474/60.jpg
Dusclops,Dusclops #7,$10.99,$43.48,$311.25,https://storage.googleapis.com/images.pricecharting.com/75a570161a869f69271ef33593a9ca69200db6f7476f44277d939aed835e678e/60.jpg
Mightyena,Mightyena [Reverse Holo] #12,$19.99,$59.99,"$1,072.57",https://storage.googleapis.com/images.pricecharting.com/hjc4jwqvfm4ymd4i/60.jpg
Magcargo,Magcargo [Reverse Holo] #20,$19.99,$48.23,$512.50,https://storage.googleapis.com/images.pricecharting.com/667001ae6e961cd7b521df3c75e55c1dffd24770fffe008360b5750497524b04/60.jpg
Swablu,Swablu [Reverse Holo] #79,$19.99,$29.23,$225.00,https://storage.googleapis.com/images.pricecharting.com/5aaa937e4707281bf9009dd4a8906f56b37b68f19aabb58943fa584abe130a12/60.jpg
Poochyena,Poochyena [Reverse Holo] #70,$19.99,$54.08,$416.83,https://storage.googleapis.com/images.pricecharting.com/eqmyge3xffltmadu/60.jpg
Donphan,Donphan [Reverse Holo] #30,$19.99,$42.37,$475.00,https://storage.googleapis.com/images.pricecharting.com/7cdf3299493a503068156fb713f507c0879c0e17823e260fbfdfa7eebea19313/60.jpg
Magcargo,Magcargo [Reverse Holo] #37,$14.24,$34.95,$706.25,https://storage.googleapis.com/images.pricecharting.com/b52cae213bdcfd6a2d9d40b506e95a07406f3135aebe2dd068b385554807b119/60.jpg
Mightyena,Mightyena #12,$13.50,$60.14,$443.60,https://storage.googleapis.com/images.pricecharting.com/2eaeb946d77f04e5fa9ad11064ebd055c04a29e805e3a61c514ae46ac377a5e5/60.jpg
Donphan,Donphan #30,$6.87,$67.97,$82.00,https://storage.googleapis.com/images.pricecharting.com/e67d29c4b73d0c31228839fe43926932df95d86c80436ba88611a2a5f78cdbf4/60.jpg
Magcargo,Magcargo #20,$2.42,$27.54,$33.00,https://storage.googleapis.com/images.pricecharting.com/6be225d255a9a3df72e301e61b13e844729b5718ff634bbe79c305072932e4d0/60.jpg
Magcargo,Magcargo #37,$1.99,$14.50,$109.04,https://storage.googleapis.com/images.pricecharting.com/1ddd2517c11e372e161ec89438bb38080940a6205acd3139899e487f0ae9533a/60.jpg
Swablu,Swablu #79,$1.90,$12.65,$78.94,https://storage.googleapis.com/images.pricecharting.com/78a2e65a0ed3e9a0d0ff167613aab164386acdaa27c93ca11e036407c93d5d93/60.jpg
Poochyena,Poochyena #70,$1.53,$22.57,$68.58,https://storage.googleapis.com/images.pricecharting.com/61d810826c126dbe5cd6b8fb8319dfcdd3c2606f5051dff5ce3ead7e47d72399/60.jpg
Slaking,Slaking [Reverse Holo] #15,$19.65,$50.00,$275.00,https://storage.googleapis.com/images.pricecharting.com/ba3031b2697dc4603237b7c3364a716e7c5df4be9ebe2accf2cb77f8465b05e1/60.jpg
Slaking,Slaking #15,$10.70,$30.75,$359.67,https://storage.googleapis.com/images.pricecharting.com/d05a3f73ffb90858bcb34eb31a049ee8ca31cc11405978412afc2599e8c68809/60.jpg
