Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Booster Box,Booster Box,"$10,344.10",,,https://storage.googleapis.com/images.pricecharting.com/26e122ecf8678b8e5b53a9a1408e3a7a82e5877aad3c252e8f6ed6b6ad02b5fc/60.jpg
Blister Pack,Blister Pack,"$2,399.99",,,https://storage.googleapis.com/images.pricecharting.com/764fd01f99263be5934c834ad32ef4a0d08d92b05f79ac7c7e22e113c80e6ac1/60.jpg
Charizard,Charizard [Gold Star] #100,"$1,799.50","$14,384.38","$58,723.00",https://storage.googleapis.com/images.pricecharting.com/67ae70399e65038aeb665991d9e1fc289c5304aebc69eaf1c071ec5b1ec293bc/60.jpg
Mew,Mew [Gold Star] #101,"$1,454.22","$8,893.41","$10,672.00",https://storage.googleapis.com/images.pricecharting.com/1177e9f8d40b16f6d16f44d8994f7aee74f5e9b75d82d49f81b43788c24acb20/60.jpg
Mew,Mew [Gold Star World Champs] #101,$337.36,,"$1,507.80",https://storage.googleapis.com/images.pricecharting.com/a215d24f3106e92f94be0d625f124576ddedee4d1edd394a6d9428d30919b5fa/60.jpg
Booster Pack,Booster Pack,"$1,161.71","$2,499.99",,https://storage.googleapis.com/images.pricecharting.com/af6e92660e45e788bb14ebc24103cc5470d6d61caeedec9081693d98a5d68c5e/60.jpg
Rayquaza,Rayquaza EX #97,$215.93,$824.78,"$5,000.00",https://storage.googleapis.com/images.pricecharting.com/4e24d0eda285f07d02ade1fef7c13a4ca2bd9d61a0969e2a7d421d02605eedc7/60.jpg
Snorlax,Snorlax [Reverse Holo] #10,$129.32,$739.66,"$4,535.57",https://storage.googleapis.com/images.pricecharting.com/f47e7c68943d9779a27550e88a4edfd9c3fb0e31f69e9077dcfd520481395adb/60.jpg
Snorlax,Snorlax #10,$66.96,$251.72,"$2,750.00",https://storage.googleapis.com/images.pricecharting.com/36ca60c5581744cf9b61cef3169b95a467e8237d6fabebc286bbb024a85f0793/60.jpg
Salamence,Salamence EX #98,$118.52,$542.02,"$7,257.11",https://storage.googleapis.com/images.pricecharting.com/c4319039e3e61e0076f5a6735d46fc33092db6719539f21f13330999d9453e89/60.jpg
Gardevoir,Gardevoir EX #93,$117.78,$420.94,$967.47,https://storage.googleapis.com/images.pricecharting.com/05d9005e133579f032d264fe1555aec48e070075804ebf1372949c61751f2c4c/60.jpg
Ninetales,Ninetales #8,$112.50,$238.23,"$1,000.00",https://storage.googleapis.com/images.pricecharting.com/1365e551bb94f51e02bc9c164d72a2220aa94e0ee3ed58af5916d3800a0c4001/60.jpg
Ninetales,Ninetales [Reverse Holo] #8,$102.63,$483.19,"$1,375.24",https://storage.googleapis.com/images.pricecharting.com/d10c920c8225df74c95140a0ee8d23a8d42441d30f2f999a5f89a7bd4806770f/60.jpg
Dragonite,Dragonite EX #91,$100.00,$801.72,"$2,699.99",https://storage.googleapis.com/images.pricecharting.com/f7f9f0bf2b5c789933ee3e1646310930e78d23de9d9a670871b114a32a8e0862/60.jpg
Latias,Latias EX #95,$84.28,$481.44,"$1,306.06",https://storage.googleapis.com/images.pricecharting.com/a4c02eca6d4ec0007db2f95c0cd801181370c63f741d73afd52aad51ad5c69c0/60.jpg
Tyranitar,Tyranitar EX #99,$82.62,$424.44,"$1,513.54",https://storage.googleapis.com/images.pricecharting.com/c2d5620ad465272187dd5e4858b100a2a8f5f106544dd328321f5cb94a702557/60.jpg
Latios,Latios EX #96,$78.05,$663.56,"$5,299.99",https://storage.googleapis.com/images.pricecharting.com/2c6d77c26de690009a841567a478d04b1801ef84c39ae5f232afb15a866c0985/60.jpg
Milotic,Milotic [Reverse Holo] #5,$64.56,$200.08,"$1,423.11",https://storage.googleapis.com/images.pricecharting.com/5367e4eb3092ecb2ada291c360c003eee64c7e84d1075831ac86f2c9931128a7/60.jpg
Milotic,Milotic #5,$38.25,$147.54,$705.40,https://storage.googleapis.com/images.pricecharting.com/cfccc710966abae72bd874a654dd96e40d3d632b94410098929075b5d08c4dbe/60.jpg
Dragonair,Dragonair [Prerelease] #28,$62.89,$96.00,$298.56,https://storage.googleapis.com/images.pricecharting.com/okvnfg3isoy74sqh/60.jpg
Dragonair,Dragonair [Reverse Holo] #28,$36.95,$193.66,$295.00,https://storage.googleapis.com/images.pricecharting.com/b99bb67e2ad4b447890d630f4420e6a9f66282b5422124669a68cde6c0f6c3cd/60.jpg
Dragonair,Dragonair #28,$5.14,$40.00,$72.35,https://storage.googleapis.com/images.pricecharting.com/c7dfbd47781e6263a9b1b66dc84c2cd3226fd812c6dd80984f61b702a256738e/60.jpg
Flygon,Flygon EX #92,$58.64,$298.76,$883.62,https://storage.googleapis.com/images.pricecharting.com/dde6a3ea556a24017ccfb2e968b97258227c03b50fa96d6d7c72f2e90db9ebe2/60.jpg
Feraligatr,Feraligatr [Reverse Holo] #2,$52.06,$379.75,$412.67,https://storage.googleapis.com/images.pricecharting.com/cc78e08387885316e54729ada2f6315cee503e2948628dec24999cec195abcca/60.jpg
Feraligatr,Feraligatr #2,$27.29,$161.11,"$1,275.40",https://storage.googleapis.com/images.pricecharting.com/663ad62600c3d5185b69ec819c01709fd3532dbe62fbd78ffd08f258c6c44357/60.jpg
Altaria,Altaria EX #90,$49.68,$217.00,$641.88,https://storage.googleapis.com/images.pricecharting.com/4870e0c0b7617dd55bb443487b7bcaf43fd842cbed0042f00adccb3ea946ec80/60.jpg
