Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Charizard #6,$394.95,"$2,642.23","$28,135.19",https://storage.googleapis.com/images.pricecharting.com/f5dafqvcvkgl5hk6/60.jpg
Gengar #13,$428.50,"$2,050.05","$11,500.00",https://storage.googleapis.com/images.pricecharting.com/d23b61667c0b138e332a9cd40b8963ff7a7ce2a65d4b416c28838fb7d9fa6625/60.jpg
Dragonite #9,$227.15,"$1,400.00","$8,661.00",https://storage.googleapis.com/images.pricecharting.com/60ed69374ded1e1b399cedb1a4abeb4fd87f30bbf000ed59cafa034c31a0a939/60.jpg
Mew #19,$309.00,"$1,837.06","$8,110.67",https://storage.googleapis.com/images.pricecharting.com/ef481a59a99b6d9e3e9d73ee88cd67aa572406223c70a0ae511a51b023f87362/60.jpg
Mewtwo #20,$350.00,"$1,428.29","$7,449.04",https://storage.googleapis.com/images.pricecharting.com/c41ab1e697ea861d3a3b8e56e8322dc8fed0ed1514bc8db793d9c48409ac6a2c/60.jpg
Blastoise #4,$319.73,"$1,216.37","$2,677.25",https://storage.googleapis.com/images.pricecharting.com/f04ed19f37304d1c6e1658018a43b88a66b021cba0e1dafbf8a5e59bc90a5cd6/60.jpg
Tyranitar #29,$217.84,$898.28,"$5,700.00",https://storage.googleapis.com/images.pricecharting.com/cc8a9665fc22e66506acee4b2eda5c18362b24b196d571296980180d6e48b35f/60.jpg
Pikachu #124,$9.75,$67.15,$550.00,https://storage.googleapis.com/images.pricecharting.com/a9e93ff3d7632798d67714da8dbad2cbcf28a2f5808312105e70029f5990755b/60.jpg
Charizard #39,$82.22,$259.50,"$1,049.52",https://storage.googleapis.com/images.pricecharting.com/f218c2eeb45e40fa1882f67e0f879dc02f129fde02c95f7c54561e3638c93db0/60.jpg
Charizard #40,$85.00,$213.02,"$1,004.47",https://storage.googleapis.com/images.pricecharting.com/3fed46b03c95e42d3e3f23cebaf438594c7867dac548718dce6b8901ad83e8f4/60.jpg
Alakazam #1,$227.50,$659.78,"$1,610.97",https://storage.googleapis.com/images.pricecharting.com/f9917bf52cd9d263940d7bc22c40f341e93301a04e973a9c44cccb623834379a/60.jpg
Squirtle #132,$26.00,$102.13,$400.00,https://storage.googleapis.com/images.pricecharting.com/d12314c40025e87af315a458dd5b50a02950d9fc6b52af1aeea098e44e15cda0/60.jpg
Charizard [Reverse Holo] #6,$156.84,$523.55,"$2,551.00",https://storage.googleapis.com/images.pricecharting.com/0580872c6a3c32cc06948ea8ae6c0d746b0ca5a603d222b0dd4f6d96c0f6056b/60.jpg
Gengar #48,$90.00,$273.50,"$1,135.76",https://storage.googleapis.com/images.pricecharting.com/407ecc1146d627ddbf3baff157ee20d33350e984b3fdb3774621ae7998f3e724/60.jpg
Feraligatr #12,$176.25,$619.85,"$3,582.21",https://storage.googleapis.com/images.pricecharting.com/d2f2bffe8fc859780ec4b1705af1758cb50722247022b35488d34930cc650797/60.jpg
Raichu #25,$99.99,$594.75,"$2,096.84",https://storage.googleapis.com/images.pricecharting.com/43d5bf8700cb52f29def0c8fae8cbdcd01b7a93e6ad22af7070eaf34bf044929/60.jpg
Gengar [Reverse Holo] #13,$238.12,$438.20,"$7,360.00",https://storage.googleapis.com/images.pricecharting.com/14df6444bf28101b01f74aa547ff62e9eaf5250ef936496d11f2dbe1cf210e3d/60.jpg
Alakazam #33,$10.96,$49.99,$188.52,https://storage.googleapis.com/images.pricecharting.com/09c5500a16b8a3a687934eccef7f1a2e1574b2aeef8fe56995d589648fca9b43/60.jpg
Mew #55,$61.75,$149.01,$468.00,https://storage.googleapis.com/images.pricecharting.com/124bb3d956748fc7b7e31ffb2d0b58b4db5df2b371701c73128c7fdd7a63a907/60.jpg
Venusaur #30,$108.29,$379.50,"$1,383.99",https://storage.googleapis.com/images.pricecharting.com/8ed3c371bd2eb73fae4149ab258bba13ac15ea485e03bc8799f7ab943d6744bf/60.jpg
Dragonite #43,$67.09,$112.01,$450.00,https://storage.googleapis.com/images.pricecharting.com/c824cf4cbfeada4fc23598fee75c63b3736778e2aed32e629bad83e7eff75df9/60.jpg
Typhlosion #28,$97.50,$331.00,"$1,926.97",https://storage.googleapis.com/images.pricecharting.com/c468705744d9048b1a2f6b43785cfa9ade45c364843642d146f9dbd262c2ec94/60.jpg
Charizard [Reverse Holo] #39,$176.25,$802.41,"$2,549.99",https://storage.googleapis.com/images.pricecharting.com/d4dac845b744b4b9c3a8629decbc3e8a8be2e68dbc34e8f9d0f4fbe6e009047a/60.jpg
Magikarp #118,$19.89,$55.00,$237.31,https://storage.googleapis.com/images.pricecharting.com/1d728d32f70f5d54513b7d482e3a12c98f5ecc060e73298e1ee096b40fdd8fb0/60.jpg
Blastoise #37,$53.88,$140.23,$451.62,https://storage.googleapis.com/images.pricecharting.com/2fd0a7062fd8af3275cf736f78bf5a4cb80f14b7edeffc3ad851534287e6f32e/60.jpg
Bulbasaur #94,$23.50,$60.00,$158.17,https://storage.googleapis.com/images.pricecharting.com/fd9d3e3fc32264cf523763693e7f211fe60963c980edaa024b3fb02fca31be4b/60.jpg
Charmander #98,$23.58,$74.46,$236.67,https://storage.googleapis.com/images.pricecharting.com/9b39f266f3469a836d4d89a5a323b6321728f822f2975ebe71b16ba6bc2dac7f/60.jpg
Mewtwo #56,$49.18,$132.50,$446.17,https://storage.googleapis.com/images.pricecharting.com/791b131ca9df1a95c21d8c4e5c2cc15f8731627333fc6fe11f28f4f3151d5ee7/60.jpg
Dragonite [Reverse Holo] #9,$135.00,$288.03,"$2,621.78",https://storage.googleapis.com/images.pricecharting.com/02d7ed6d32f8090154030aa0f7e997214726be1a3022102af25f4de9dd92ac6c/60.jpg
Pichu #22,$92.62,$356.10,$917.00,https://storage.googleapis.com/images.pricecharting.com/edd806d7c79b83d96babb5bb9e4da3d477447f864186702ea5ee004ad1d9989f/60.jpg
Blastoise #36,$39.00,$68.13,$250.00,https://storage.googleapis.com/images.pricecharting.com/ea27a6ff7b8e1606aa37811ca46b4b38d4450223d2c13efd972767a3caa8a66c/60.jpg
