Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Booster Box,Booster Box,"$20,915.87",,,https://storage.googleapis.com/images.pricecharting.com/rhw5qntv5efowrvn/60.jpg
Booster Pack,Booster Pack,"$2,511.72","$1,270.00","$2,178.99",https://storage.googleapis.com/images.pricecharting.com/a7ski4vejthzrbet/60.jpg
Blister Pack,Blister Pack,"$2,462.50","$24,606.44","$82,504.39",https://storage.googleapis.com/images.pricecharting.com/384cf251e973551f3050f6a0bac257baf65c139a3c434e4630b62b214047b8d1/60.jpg
Charizard,Charizard [Reverse Holo] #3,"$1,088.74","$9,036.38","$31,750.00",https://storage.googleapis.com/images.pricecharting.com/pjdq4sbshwrx7hhn/60.jpg
Charizard,Charizard [Box Topper] #S1,$958.00,"$4,092.50","$23,272.22",https://storage.googleapis.com/images.pricecharting.com/pp3bxmprmb26r3o6/60.jpg
Charizard,Charizard [Holo] #3,$153.43,"$1,649.34","$5,501.64",https://storage.googleapis.com/images.pricecharting.com/lrujbldbvkfj34ri/60.jpg
Charizard,Charizard #3,$93.00,$468.57,"$3,238.51",https://storage.googleapis.com/images.pricecharting.com/jmn2nixmvfoo64yy/60.jpg
Charizard,Charizard [Jumbo] #1,,,,https://www.pricecharting.com/images/no-image-available.png
Gengar,Gengar [Reverse Holo] #11,$587.72,"$4,631.25","$7,459.62",https://storage.googleapis.com/images.pricecharting.com/7e790c9ccfb6c833459cfcc6ba8a6fa3ea305ad3aaf1262f819c0462b217f105/60.jpg
Gengar,Gengar #11,$91.00,$275.00,"$14,100.00",https://storage.googleapis.com/images.pricecharting.com/fdaacda6d2950fd2fbb4e571bbad93eb127f201f43dd9ab0ea6a2216217fa766/60.jpg
Pikachu,Pikachu [Reverse Holo] #86,$477.34,"$1,962.50","$5,884.93",https://storage.googleapis.com/images.pricecharting.com/d3ad1ffd42faae516fde43b4444a9bb56d59a1ee44dc18614130e71bfb0f5625/60.jpg
Pikachu,Pikachu #86,$4.99,$41.71,$205.05,https://storage.googleapis.com/images.pricecharting.com/524423019b34924b5a6f60120d272c0306f52389a7f6c996f10a9556a6d5e804/60.jpg
Mewtwo,Mewtwo [Reverse Holo] #29,$468.82,"$2,246.93","$5,196.84",https://storage.googleapis.com/images.pricecharting.com/ab987635273ed18db73a257513854a0b956ef425c2669817b616ddcb6574a296/60.jpg
