Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Shining Charizard #107,"$1,400.00","$4,251.31","$12,764.59",https://storage.googleapis.com/images.pricecharting.com/dz4j7spiklv4lwu2/60.jpg
Shining Mewtwo #109,$635.19,"$2,378.90","$5,809.30",https://storage.googleapis.com/images.pricecharting.com/a9a0cef7e4537697489cfcf8dd5a6f287f7383c19b1dd109bcd0879cf3ed3c99/60.jpg
Shining Charizard [1st Edition] #107,"$2,141.97","$10,292.50","$24,287.61",https://storage.googleapis.com/images.pricecharting.com/dc96f1c6121c99b813e9b90e1c0054c8da5182d677b8e7800654f343c9771fc1/60.jpg
Shining Tyranitar #113,$616.04,"$2,093.42","$7,122.05",https://storage.googleapis.com/images.pricecharting.com/9f66879bdf63f7d273f6c986a0411216e54b522a79e363e7bd26cb0b699659db/60.jpg
Dark Gengar #6,$317.77,"$1,012.20","$4,415.19",https://storage.googleapis.com/images.pricecharting.com/43dc9b20d5d716e77c0ed68a9047ef71eadd22ea14c3af5a00b7cc39a43d0434/60.jpg
Shining Raichu #111,$385.70,"$1,100.00","$3,026.78",https://storage.googleapis.com/images.pricecharting.com/f752453a50641f7d1ea98346bc21b34e8634c1fde2ac95b58af44ab9b8de4e7e/60.jpg
Shining Celebi #106,$267.11,$700.00,"$2,413.82",https://storage.googleapis.com/images.pricecharting.com/7e0c85dfa393da7b02077d7161d8c94c8cff977d3e47b2887dae4e4205eeebfd/60.jpg
Dark Espeon #4,$178.13,$902.68,"$1,205.47",https://storage.googleapis.com/images.pricecharting.com/9ac32076cfa04bba82c63482cf899dbd5825ec7bb7cac4dfcf563b3c59ba6a29/60.jpg
Light Dragonite #14,$184.94,$505.42,"$2,306.13",https://storage.googleapis.com/images.pricecharting.com/19084e9432189d50e3d2a0217222fc112a624d504758f72f8d2b99d931d127d3/60.jpg
Dark Typhlosion #10,$36.01,$185.35,"$1,547.28",https://storage.googleapis.com/images.pricecharting.com/762db8f10bdfaae811dd1edca078219ded4184d8d004ce9d0702d46b11695c50/60.jpg
