grade,date,price,card,set,product_id
Ungraded,2025-08-01,1882.0,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2025-09-01,1882.0,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2025-10-01,1882.0,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2025-12-01,1882.0,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2026-01-01,1882.0,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2026-02-01,1882.0,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2026-03-01,1882.0,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2026-04-01,1408.43,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2026-05-01,1388.13,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2026-06-01,1410.35,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2026-07-01,1416.85,Ready For Battle,pokemon-1999-topps-movie,6777795
Ungraded,2024-08-01,24.5,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2024-09-01,29.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2024-10-01,34.44,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2024-11-01,34.42,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2024-12-01,32.4,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-01-01,35.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-02-01,35.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-03-01,35.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-04-01,35.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-05-01,35.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-06-01,35.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-07-01,35.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-08-01,44.5,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-09-01,44.5,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-10-01,44.5,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-11-01,41.97,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2025-12-01,41.22,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2026-01-01,42.4,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2026-02-01,41.44,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2026-03-01,35.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2026-04-01,48.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2026-05-01,48.0,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2026-06-01,53.58,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2026-07-01,53.58,First Movie Booster Pack,pokemon-1999-topps-movie,6971307
Ungraded,2022-06-01,2.39,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2022-07-01,2.39,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2022-08-01,2.39,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2022-09-01,2.45,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2022-10-01,2.39,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2022-11-01,2.63,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2022-12-01,3.0,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-01-01,3.0,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-02-01,2.99,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-03-01,3.0,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-04-01,3.0,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-05-01,3.0,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-06-01,3.0,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-07-01,2.99,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-08-01,10.75,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-09-01,10.75,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-10-01,10.38,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-11-01,10.01,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2023-12-01,3.49,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-01-01,3.63,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-02-01,6.49,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-03-01,7.27,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-04-01,3.07,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-05-01,3.01,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-06-01,4.13,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-07-01,2.25,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-08-01,2.42,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-09-01,2.42,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-10-01,2.42,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-11-01,2.42,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2024-12-01,4.18,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2025-01-01,4.92,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2025-02-01,4.54,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2025-03-01,4.42,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2025-04-01,3.8,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2025-05-01,3.74,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2025-06-01,2.78,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
Ungraded,2025-07-01,2.85,Pikachu's Vacation #42,pokemon-1999-topps-movie,3560849
