Species,Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Gengar,Gengar [Prerelease Staff] #SWSH241,"$2,000.00 ","$3,218.83 ","$3,863.00 ",https://storage.googleapis.com/images.pricecharting.com/qhuxs2k7lc4b3kvm/60.jpg
Gengar,Mega Gengar EX #XY166,$138.94 ,$616.10 ,"$6,156.60 ",https://storage.googleapis.com/images.pricecharting.com/898fa756b176fe9177cf228c8bb3a82a718083a09d2b923c9b6400d759eb4334/60.jpg
Gengar,Gengar #SWSH052,$83.86 ,$149.44 ,"$1,970.12 ",https://storage.googleapis.com/images.pricecharting.com/da311118aebb4948366b96c4d4a0c18caee9974c6717eace02daa4ca0de9eb81/60.jpg
Gengar,Gengar #SWSH241,$27.27 ,$46.20 ,$325.00 ,https://storage.googleapis.com/images.pricecharting.com/d441f4c05b21bdf23226a4aab08b0e049a88996982261d898d3c17ef66be12f6/60.jpg
Champions Festival,Champions Festival [Top Thirty-Two] #XY27,"$1,600.00 ",$276.00 ,,https://storage.googleapis.com/images.pricecharting.com/f622bece5adc760d761eb380720d223be9a70f63cdf02e4ec2888576837879a7/60.jpg
Champions Festival,Champions Festival [Quarter Finalist] #XY176,"$1,170.00 ","$1,700.00 ",,https://storage.googleapis.com/images.pricecharting.com/8474f7e41100313cc0864786e86cbc18abb3e9f5c62dd093c938bf281eba8371/60.jpg
Champions Festival,Champions Festival [Quarter Finalist] #SM231,"$1,000.00 ","$2,968.84 ",,https://storage.googleapis.com/images.pricecharting.com/ce2d9710c9a0a4339d7526f051e8e1f58a5a2aba1e462b0b60ffa8176e2da377/60.jpg
Champions Festival,Champions Festival [Finalist] #XY176,$900.00 ,,,https://storage.googleapis.com/images.pricecharting.com/d675afzfcobiwvth/60.jpg
Champions Festival,Champions Festival [Staff] #XY176,$515.65 ,"$2,075.00 ",,https://storage.googleapis.com/images.pricecharting.com/4b83532cee3c2cb8cc608c69c65b7a2eed113aa52fd768bb27340736b21361bb/60.jpg
Champions Festival,Champions Festival [Staff] #SWSH296,$425.00 ,$382.74 ,$900.39 ,https://storage.googleapis.com/images.pricecharting.com/f745c1362e89e09d6cb6bd12522db7c617da57769090e7f540311b027268be6a/60.jpg
