Card Name,Ungraded Price,Grade 9 Price,PSA 10 Price,Image URL
Charizard #146,"$2,858.97","$14,500.00","$42,100.00",https://storage.googleapis.com/images.pricecharting.com/bd96c0864982e5728f6865cb53b48cef4ff034eae52a496e594c40eca129a79a/60.jpg
Gengar #H9,"$1,197.58","$6,826.78","$27,645.92",https://storage.googleapis.com/images.pricecharting.com/ae47d25aebf825d85762e4ad6084d52851500691a85a884bf84804a89535ba97/60.jpg
Umbreon #H30,"$1,545.06","$5,496.25","$20,418.78",https://storage.googleapis.com/images.pricecharting.com/23d5174bf14b858079ee422643ebd5b811cde0d18f3333e7f223dc191c81a940/60.jpg
Ho-Oh #149,"$1,265.29","$6,000.00","$12,377.50",https://storage.googleapis.com/images.pricecharting.com/62b64a9af1433c9b9d90e4911f057a2c95f2733e1d9e72931be85cfe2b4aad2c/60.jpg
Gyarados #H10,$779.98,"$3,251.00","$11,049.50",https://storage.googleapis.com/images.pricecharting.com/293c5f90d742de93e7702d32e9f4f6fc1cf1b3d58a0b779fff4a6e04bd35e2b7/60.jpg
Charizard [Reverse Holo] #146,"$1,185.50","$4,386.82","$9,695.08",https://storage.googleapis.com/images.pricecharting.com/08c913d69317c09271dd55e39f1291598b7146e963646b6921531a70e3c210b4/60.jpg
Celebi #145,$741.75,"$5,212.00","$11,000.00",https://storage.googleapis.com/images.pricecharting.com/2c9ae39c9536a79957f3378cebbeb1ebb9bfdb66a514dc85035f25bbdd2c2bb3/60.jpg
Gengar #10,$256.30,$458.62,"$1,938.83",https://storage.googleapis.com/images.pricecharting.com/f77231698ffb297a55e59303660506ef8862898b8960d003619e94ee86b10a48/60.jpg
Umbreon #32,$141.01,$425.04,"$1,238.27",https://storage.googleapis.com/images.pricecharting.com/b41020fd9a7ce2c94afc600e8973445556cd900e8d87446e1037579eec560560/60.jpg
Golem #148,$376.57,"$2,450.86","$6,137.73",https://storage.googleapis.com/images.pricecharting.com/495a796ce1e9f7822a53af98e1b7b9c3f1772caef6175ebadc529356d365ca3a/60.jpg
